고객번호,상반기구매빈도14,하반기구매빈도14,상반기구매빈도15,하반기구매빈도15
236,3,1,2,3
237,2,3,2,2
238,1,2,1,1
239,3,2,3,2
240,3,3,1,3
241,2,3,4,2
242,1,2,2,2
243,1,2,2,2
244,1,1,3,4
245,2,3,2,2
246,1,2,2,2
247,4,4,4,3
248,2,2,3,2
249,1,2,2,2
250,3,3,3,3
251,2,1,2,3
252,2,2,2,1
253,2,2,2,2
254,3,3,2,2
255,4,3,3,3
256,2,3,3,4
257,3,2,3,2
258,2,2,3,4
259,2,2,2,2
260,2,2,1,2
261,2,2,1,2
262,4,4,4,3
263,2,2,2,2
264,4,4,4,4
265,3,3,3,2
266,2,2,3,3
267,2,2,2,2
268,3,4,3,4
269,4,4,4,4
270,2,1,2,2
271,3,2,1,2
272,3,3,3,3
273,2,4,4,4
274,2,2,2,2
275,4,4,4,4
276,3,4,4,4
277,3,3,3,3
278,2,3,3,2
279,3,4,2,2
280,3,3,2,3
281,3,4,4,3
282,2,2,2,2
283,2,3,3,3
284,1,1,3,2
285,2,3,2,3
286,2,2,2,3
287,2,1,2,2
288,2,3,3,3
289,1,3,2,2
290,1,2,2,2
291,1,2,2,2
292,4,4,4,4
293,2,2,2,3
294,1,2,1,2
295,1,2,3,2
296,4,4,4,4
297,2,2,2,3
298,2,2,2,2
299,3,2,3,2
300,2,2,2,1
301,2,2,2,1
302,2,3,2,3
303,2,2,3,4
304,1,1,1,2
305,4,4,4,4
306,2,2,2,3
307,3,3,3,2
308,3,3,2,2
309,3,2,2,2
310,3,2,3,3
311,3,2,4,1
312,2,3,3,2
313,3,3,2,2
314,3,2,3,3
315,3,4,4,4
316,3,3,2,3
317,4,4,4,3
318,2,2,2,3
319,3,2,2,2
320,3,3,4,3
321,3,4,3,3
322,3,2,3,2
323,3,3,3,4
324,4,4,4,4
325,2,2,1,2
326,2,1,3,3
327,2,2,2,2
328,2,2,2,2
329,3,2,2,2
330,1,1,3,3
331,3,3,3,3
332,4,4,4,4
333,4,4,4,4
334,2,1,2,3
335,3,4,4,4
336,2,1,2,1
337,2,4,4,3
338,2,1,2,2
339,2,2,2,2
340,2,2,2,2
341,1,2,3,3
342,2,2,2,1
343,2,2,2,3
344,3,3,1,2
345,2,2,2,1
346,2,2,1,2
347,3,4,3,3
348,2,3,3,1
349,4,3,3,2
350,2,3,3,4
351,4,2,3,1
352,3,3,2,2
353,2,2,2,2
354,2,2,1,2
355,3,4,3,3
356,2,3,3,2
357,4,3,3,3
358,1,1,2,3
359,3,3,4,3
360,2,3,2,3
361,2,2,2,3
362,2,2,2,2
363,4,2,3,2
364,1,3,3,3
365,4,4,3,3
366,1,2,1,2
367,4,4,4,4
368,4,3,4,4
369,3,2,3,2
370,1,1,2,2
371,1,2,3,1
372,2,2,2,1
373,1,2,4,3
374,2,2,3,2
375,2,2,3,2
376,3,3,4,4
377,3,4,4,4
378,2,3,2,2
379,2,1,2,3
380,2,2,2,2
381,2,2,2,2
382,1,1,3,2
383,2,1,2,1
384,2,1,3,3
385,2,2,2,2
386,4,3,2,3
387,3,4,3,4
388,3,2,1,1
389,2,1,2,2
390,2,2,2,2
391,4,2,1,4
392,3,1,2,4
393,1,2,2,2
394,2,2,3,2
395,2,1,2,2
396,4,4,4,3
397,2,3,4,3
398,4,2,2,3
399,2,2,2,2
400,3,3,3,4
401,2,2,3,3
402,2,2,2,2
403,1,1,2,1
404,2,3,3,2
405,3,2,1,2
406,1,1,2,2
407,3,3,2,2
408,2,2,3,1
409,3,2,3,2
410,1,1,2,2
411,4,3,3,3
412,3,4,4,3
413,2,3,2,2
414,2,2,2,2
415,2,3,4,2
416,3,3,3,3
417,3,3,2,2
418,1,2,2,2
419,2,2,1,2
420,2,3,3,3
421,4,4,4,4
422,3,2,2,1
423,2,2,2,2
424,2,2,2,2
425,2,1,2,2
426,2,3,3,3
427,1,2,1,3
428,3,3,3,3
429,3,2,2,2
430,3,3,2,3
431,1,2,2,3
432,2,3,3,2
433,3,2,3,3
434,2,3,2,4
435,3,1,2,2
436,2,3,3,3
437,1,2,3,4
438,3,2,2,1
439,1,1,3,4
440,2,3,2,1
441,2,2,2,2
442,2,2,2,2
443,2,2,2,2
444,2,3,2,4
445,1,1,1,2
446,1,2,2,2
447,3,2,2,2
448,3,3,2,2
449,3,3,3,4
450,3,2,3,3
451,2,3,2,3
452,1,3,3,2
453,3,3,2,3
454,3,4,3,2
455,2,3,2,2
456,2,4,3,4
457,4,4,4,4
458,2,2,2,2
459,2,2,2,2
460,1,2,1,1
461,1,2,2,3
462,3,3,3,3
463,3,4,2,3
464,3,2,2,2
465,2,2,2,3
466,3,3,2,4
467,4,3,4,4
468,3,2,3,2
469,2,2,2,2
470,3,3,2,2
471,1,3,3,2
472,1,1,2,2
473,1,2,1,1
474,4,4,4,4
475,2,3,2,2
476,2,2,3,2
477,1,3,3,3
478,3,2,3,2
479,3,2,3,3
480,3,3,3,3
481,3,3,3,3
482,2,2,2,3
483,2,2,2,2
484,3,3,2,2
485,2,2,2,2
486,4,4,4,3
487,2,2,3,2
488,2,2,2,2
489,2,4,4,4
490,2,1,3,3
491,3,3,3,3
492,4,4,1,3
493,2,3,3,2
494,1,2,1,3
495,2,2,3,3
496,3,3,3,3
497,2,2,3,3
498,1,2,2,2
499,1,1,2,2
500,4,4,4,3
501,1,2,2,2
502,3,3,4,3
503,4,4,4,4
504,3,2,3,3
505,2,2,3,4
506,2,1,3,4
507,2,2,1,2
508,3,2,3,2
509,1,2,1,2
510,3,3,2,2
511,2,2,1,1
512,1,1,2,2
513,2,2,2,4
514,2,2,2,2
515,2,2,2,1
516,2,2,2,2
517,2,2,3,2
518,4,4,4,4
519,1,1,4,3
520,2,4,2,3
521,3,2,3,4
522,3,4,3,2
523,4,2,3,3
524,3,3,2,1
525,2,2,2,3
526,4,4,4,4
527,1,3,2,2
528,1,1,1,1
529,4,3,4,3
530,2,2,2,3
531,2,2,2,3
532,2,2,2,2
533,2,2,2,2
534,1,3,2,4
535,3,1,3,3
536,2,2,2,2
537,1,2,2,3
538,2,3,3,2
539,2,2,3,2
540,4,3,2,3
541,2,3,3,4
542,1,3,3,3
543,2,2,2,1
544,3,2,3,4
545,2,2,1,2
546,1,1,2,2
547,4,4,3,3
548,3,4,3,2
549,2,2,2,1
550,1,3,4,4
551,2,2,2,2
552,3,3,2,3
553,1,3,2,3
554,2,2,3,2
555,2,3,2,3
556,2,2,2,1
557,2,2,2,1
558,1,1,3,2
559,3,3,3,3
560,2,2,2,2
561,3,2,3,3
562,3,2,1,1
563,2,2,2,2
564,2,3,2,2
565,3,3,2,2
566,2,2,2,3
567,2,2,2,2
568,1,2,4,3
569,2,4,2,3
570,3,3,3,2
571,3,2,2,3
572,2,3,3,3
573,1,3,3,3
574,4,2,2,3
575,2,2,2,2
576,2,3,3,2
577,2,2,2,3
578,4,3,3,3
579,1,1,2,1
580,1,1,3,3
581,1,2,4,2
582,3,2,2,2
583,3,3,1,1
584,2,2,3,2
585,2,4,2,3
586,2,2,2,2
587,3,3,2,3
588,4,4,3,3
589,4,2,2,3
590,2,2,2,3
591,2,2,2,2
592,3,3,3,2
593,2,1,1,2
594,2,2,3,2
595,1,1,2,3
596,3,3,2,1
597,3,3,3,3
598,2,3,2,2
599,3,3,3,4
600,2,3,2,2
601,4,3,3,3
602,1,1,2,3
603,3,3,2,1
604,3,2,2,3
605,2,2,2,1
606,4,2,1,2
607,3,2,3,3
608,4,4,4,4
609,2,2,2,2
610,1,2,2,1
611,3,3,2,2
612,3,4,1,1
613,4,4,4,4
614,3,2,3,3
615,1,3,3,1
616,2,3,2,2
617,3,3,2,4
618,1,4,2,3
619,3,4,4,2
620,2,2,3,1
621,1,2,2,2
622,4,2,2,2
623,1,3,2,2
624,2,1,2,1
625,2,3,3,4
626,1,2,1,3
627,2,3,2,2
628,3,3,4,4
629,2,2,3,3
630,4,3,2,1
631,3,3,3,2
632,2,2,1,2
633,2,3,4,4
634,3,1,2,1
635,4,2,2,2
636,2,2,2,2
637,2,4,4,4
638,2,2,2,2
639,2,3,3,3
640,3,2,3,3
641,2,2,3,3
642,3,3,3,3
643,3,3,2,2
644,2,4,3,1
645,4,4,4,4
646,3,3,3,2
647,3,3,3,2
648,2,3,3,2
649,1,1,3,3
650,1,1,1,1
651,1,1,2,3
652,2,2,3,3
653,2,1,2,2
654,3,4,3,4
655,2,2,2,2
656,3,3,2,1
657,3,2,3,3
658,2,2,3,1
659,1,1,1,1
660,3,3,3,3
661,2,2,2,1
662,1,1,2,1
663,4,4,4,4
664,2,2,2,3
665,2,2,3,3
666,2,2,3,2
667,2,4,3,2
668,4,4,4,1
669,2,2,2,2
670,3,3,4,2
671,2,2,2,2
672,2,2,2,3
673,3,2,3,2
674,2,2,2,2
675,3,3,4,3
676,3,4,2,3
677,3,2,2,2
678,1,1,1,1
679,2,2,2,2
680,4,4,4,4
681,2,2,1,1
682,2,2,1,1
683,2,2,2,1
684,1,2,3,2
685,3,3,2,3
686,3,2,2,2
687,3,1,3,2
688,1,1,1,3
689,2,2,2,2
690,2,2,3,3
691,2,3,2,2
692,3,3,2,3
693,3,2,3,3
694,2,2,2,3
695,2,3,2,2
696,1,3,1,2
697,1,1,2,2
698,1,2,2,2
699,4,4,4,4
700,4,4,4,4
701,4,4,4,4
702,3,2,3,3
703,2,2,2,2
704,2,2,3,3
705,3,2,2,2
706,2,2,2,1
707,3,3,3,2
708,3,2,4,4
709,3,2,3,4
710,1,2,2,2
711,3,2,2,2
712,2,2,3,3
713,3,3,3,4
714,2,2,3,3
715,3,2,2,3
716,3,4,3,4
717,1,1,1,3
718,1,2,2,1
719,3,3,3,3
720,2,1,2,2
721,1,1,1,2
722,2,2,2,2
723,4,3,3,3
724,1,1,1,2
725,2,2,3,3
726,1,2,2,2
727,4,3,3,4
728,2,1,3,2
729,3,2,2,3
730,4,4,4,3
731,1,2,1,2
732,3,2,3,3
733,4,4,4,3
734,1,2,2,3
735,2,2,2,3
736,3,2,2,3
737,2,3,4,4
738,1,2,3,1
739,1,2,2,2
740,1,2,2,2
741,2,2,3,2
742,4,3,3,2
743,2,2,2,2
744,4,4,4,4
745,3,4,3,3
746,2,3,2,3
747,3,3,4,4
748,2,4,4,4
749,4,4,3,1
750,1,2,2,2
751,2,1,2,2
752,2,1,2,3
753,2,3,3,4
754,2,2,1,1
755,3,4,4,4
756,4,4,4,3
757,2,1,2,3
758,4,3,4,4
759,4,4,3,4
760,2,2,2,2
761,1,2,3,3
762,3,3,3,2
763,2,2,2,2
764,3,3,3,2
765,1,2,2,2
766,2,2,3,3
767,3,3,3,3
768,1,2,2,3
769,3,3,4,4
770,3,2,2,4
771,3,3,2,2
772,2,4,2,4
773,2,3,2,2
774,2,2,1,2
775,2,3,2,3
776,2,2,2,1
777,4,3,3,3
778,3,2,2,2
779,3,3,3,4
780,3,3,4,4
781,4,3,4,2
782,2,2,3,2
783,2,2,2,2
784,3,2,2,3
785,2,2,2,2
786,2,1,2,4
787,2,2,2,2
788,3,4,3,4
789,2,2,2,2
790,2,2,1,1
791,4,4,4,4
792,2,2,2,2
793,3,3,3,2
794,2,2,2,1
795,3,3,4,4
796,4,3,4,3
797,4,3,4,4
798,3,4,2,1
799,2,3,2,3
800,3,3,3,3
801,2,3,2,3
802,2,3,3,4
803,2,2,1,2
804,4,4,3,3
805,2,3,3,3
806,2,2,2,4
807,2,3,3,2
808,2,3,3,3
809,3,3,4,4
810,3,2,3,2
811,2,2,3,2
812,1,2,2,2
813,3,4,4,4
814,2,2,3,3
815,3,2,1,1
816,3,3,2,2
817,3,3,3,3
818,2,3,3,4
819,3,3,3,2
820,2,2,2,1
821,2,2,2,2
822,2,2,2,3
823,2,3,4,4
824,3,3,3,4
825,2,1,4,1
826,3,2,1,1
827,2,4,2,2
828,2,2,2,1
829,1,1,1,2
830,1,2,2,2
831,2,2,2,3
832,3,3,2,4
833,4,4,4,3
834,2,3,2,2
835,1,2,4,2
836,1,2,2,3
837,2,2,2,2
838,3,3,3,4
839,3,4,3,4
840,1,1,1,2
841,2,3,2,2
842,3,2,3,2
843,1,1,2,2
844,2,3,3,3
845,2,2,2,2
846,2,3,3,3
847,2,3,2,2
848,1,2,2,2
849,2,2,3,2
850,2,2,3,3
851,1,2,2,2
852,4,4,3,4
853,2,2,2,1
854,2,2,2,3
855,2,3,2,3
856,2,2,2,1
857,3,3,3,4
858,3,3,2,4
859,4,3,3,4
860,1,1,1,2
861,3,3,3,3
862,2,1,2,2
863,3,2,3,2
864,2,2,2,2
865,2,2,3,2
866,3,2,2,3
867,3,4,4,4
868,3,4,3,2
869,1,2,2,3
870,2,3,3,2
871,2,1,1,2
872,2,2,1,1
873,3,3,4,4
874,4,3,4,4
875,4,4,4,2
876,4,3,3,3
877,1,2,2,2
878,3,3,4,4
879,3,3,3,4
880,3,3,3,4
881,2,3,4,3
882,2,3,3,2
883,2,2,2,2
884,3,4,3,3
885,3,3,2,2
886,3,2,3,3
887,3,4,4,3
888,3,2,1,2
889,4,3,4,4
890,2,1,3,2
891,2,2,3,3
892,1,2,2,2
893,3,3,3,4
894,2,2,3,3
895,3,3,3,2
896,1,2,2,1
897,4,4,4,4
898,2,2,4,4
899,2,2,2,3
900,2,1,2,2
901,3,2,3,3
902,2,2,3,3
903,4,4,4,4
904,3,2,1,2
905,3,4,4,1
906,2,2,2,2
907,2,2,3,2
908,1,1,1,1
909,2,2,3,3
910,2,2,2,2
911,3,4,4,2
912,2,3,2,1
913,2,2,4,4
914,3,4,4,4
915,1,1,3,4
916,2,2,3,3
917,1,2,2,4
918,3,3,3,2
919,2,2,2,3
920,3,2,3,3
921,2,2,1,1
922,2,1,2,1
923,2,3,2,2
924,1,2,3,2
925,2,2,2,3
926,2,2,1,1
927,2,3,3,2
928,4,4,4,4
929,2,3,3,2
930,2,2,2,2
931,2,2,1,1
932,2,1,2,2
933,1,1,2,2
934,4,4,3,4
935,1,2,2,2
936,3,3,4,4
937,2,2,2,2
938,1,2,2,2
939,3,3,2,3
940,1,4,3,4
941,1,3,3,3
942,3,4,3,3
943,4,4,4,4
944,4,4,4,4
945,2,2,2,2
946,3,2,2,2
947,3,4,4,2
948,2,1,2,2
949,2,1,4,3
950,2,2,1,2
951,1,3,3,3
952,2,3,2,1
953,4,3,3,3
954,2,2,2,2
955,3,4,4,4
956,1,1,1,2
957,1,3,3,3
958,2,2,2,3
959,3,2,2,1
960,4,4,3,1
961,2,2,1,2
962,2,2,2,2
963,2,2,2,3
964,3,2,2,2
965,3,4,4,3
966,2,3,1,1
967,2,2,1,2
968,2,3,4,3
969,3,3,3,2
970,2,2,2,1
971,2,3,2,3
972,2,2,2,2
973,2,2,4,4
974,2,3,3,3
975,2,2,2,2
976,3,3,4,3
977,2,2,2,3
978,2,2,1,2
979,2,2,2,2
980,2,2,2,4
981,2,2,2,2
982,3,4,4,4
983,2,2,2,2
984,3,2,2,2
985,4,4,1,1
986,3,3,3,3
987,2,2,1,2
988,3,2,1,1
989,3,2,3,2
990,2,3,1,1
991,2,2,3,3
992,3,4,4,4
993,1,1,3,2
994,3,4,3,2
995,2,2,3,2
996,3,3,2,2
997,3,3,3,2
998,2,2,4,3
999,3,3,2,4
1000,3,3,3,3
1001,3,4,2,2
1002,3,3,4,3
1003,2,2,2,2
1004,2,3,2,3
1005,2,4,3,2
1006,3,4,4,4
1007,1,1,1,1
1008,1,3,2,2
1009,1,1,2,2
1010,2,3,2,2
1011,1,2,2,3
1012,4,4,3,4
1013,2,3,3,1
1014,2,2,2,3
1015,1,1,3,2
1016,3,4,4,3
1017,2,3,3,3
1018,3,4,4,4
1019,2,2,1,1
1020,1,1,3,4
1021,1,1,2,3
1022,2,2,4,2
1023,3,3,3,4
1024,2,2,2,2
1025,2,1,2,2
1026,2,2,2,2
1027,3,3,2,3
1028,3,4,4,3
1029,4,4,4,4
1030,2,1,1,2
1031,3,3,2,2
1032,2,2,2,2
1033,2,3,2,3
1034,3,2,2,2
1035,2,2,1,2
1036,1,2,2,3
1037,3,3,3,2
1038,2,2,3,3
1039,3,3,4,3
1040,2,3,2,2
1041,2,2,3,2
1042,2,3,4,1
1043,2,2,2,2
1044,1,3,1,2
1045,1,2,3,3
1046,3,3,2,2
1047,4,3,2,1
1048,2,2,2,1
1049,3,2,3,1
1050,2,2,2,2
1051,2,2,2,2
1052,2,3,2,3
1053,2,2,2,1
1054,2,4,1,1
1055,1,2,3,3
1056,1,2,1,2
1057,2,2,2,3
1058,2,2,2,1
1059,2,2,2,2
1060,3,3,3,4
1061,1,2,3,2
1062,3,3,3,3
1063,2,2,2,4
1064,3,3,3,4
1065,4,4,4,3
1066,2,2,2,2
1067,1,4,4,4
1068,2,3,3,3
1069,3,2,2,1
1070,2,1,2,2
1071,2,2,4,4
1072,3,3,4,4
1073,2,2,3,3
1074,1,1,1,1
1075,2,2,2,2
1076,2,3,3,3
1077,3,2,2,2
1078,2,2,2,2
1079,4,4,4,4
1080,3,3,3,2
1081,2,3,3,2
1082,2,1,1,3
1083,1,1,2,2
1084,1,2,3,3
1085,2,2,3,2
1086,4,3,3,3
1087,1,2,1,2
1088,2,4,3,3
1089,4,3,3,3
1090,4,3,2,2
1091,2,4,4,2
1092,1,2,2,2
1093,1,1,3,3
1094,2,2,2,2
1095,2,2,1,3
1096,2,4,4,3
1097,2,2,3,3
1098,4,4,4,4
1099,2,2,2,2
1100,2,2,2,2
1101,2,4,2,1
1102,4,3,3,1
1103,2,2,2,2
1104,3,2,3,3
1105,2,3,2,2
1106,3,3,3,4
1107,1,3,3,3
1108,2,2,3,1
1109,2,2,2,1
1110,3,2,1,4
1111,2,2,1,4
1112,3,4,4,4
1113,2,3,3,2
1114,1,2,2,2
1115,2,2,2,2
1116,1,1,1,2
1117,1,2,3,3
1118,1,3,2,3
1119,2,3,3,4
1120,2,3,1,2
1121,1,2,4,4
1122,2,2,2,3
1123,3,2,2,1
1124,2,2,3,4
1125,2,3,3,3
1126,2,1,2,1
1127,3,3,3,2
1128,1,2,4,3
1129,3,2,2,2
1130,2,3,2,2
1131,3,3,2,2
1132,2,3,3,2
1133,2,2,2,2
1134,2,2,2,2
1135,2,2,2,3
1136,3,4,4,4
1137,2,2,2,2
1138,4,2,4,4
1139,2,2,2,2
1140,2,2,2,2
1141,3,4,4,3
1142,3,3,1,1
1143,2,2,2,2
1144,3,4,3,2
1145,1,3,1,1
1146,2,3,2,2
1147,3,3,2,2
1148,1,2,2,2
1149,2,2,2,2
1150,4,3,3,3
1151,2,2,3,3
1152,4,4,3,2
1153,3,3,3,1
1154,2,2,3,4
1155,4,3,4,3
1156,3,3,2,2
1157,4,3,3,4
1158,3,2,2,2
1159,2,3,4,3
1160,2,2,3,3
1161,3,3,3,3
1162,2,2,2,2
1163,4,4,4,4
1164,4,4,3,3
1165,4,3,3,4
1166,3,3,3,3
1167,1,2,2,2
1168,2,2,1,2
1169,1,1,2,2
1170,1,3,3,3
1171,1,1,1,1
1172,2,4,3,4
1173,2,2,2,1
1174,2,2,2,2
1175,1,2,1,1
1176,3,3,3,3
1177,2,2,2,2
1178,3,2,2,2
1179,2,3,3,4
1180,1,2,2,1
1181,3,2,2,1
1182,2,1,2,2
1183,3,4,3,3
1184,2,2,4,4
1185,3,3,3,2
1186,2,2,3,1
1187,2,1,2,2
1188,1,1,4,2
1189,1,1,4,4
1190,1,1,2,2
1191,2,2,2,1
1192,2,3,4,1
1193,3,3,4,1
1194,3,3,2,3
1195,3,3,3,1
1196,3,3,4,4
1197,2,2,3,3
1198,2,2,3,2
1199,1,2,3,3
1200,4,3,4,3
1201,2,3,3,3
1202,2,2,2,2
1203,1,2,3,3
1204,2,2,1,2
1205,4,4,3,2
1206,1,2,2,2
1207,1,1,3,3
1208,1,1,0,0
1209,4,4,3,3
1210,1,1,2,3
1211,2,2,3,2
1212,3,3,3,3
1213,2,3,3,3
1214,3,3,2,1
1215,3,3,3,4
1216,2,3,2,2
1217,1,2,3,2
1218,3,2,3,3
1219,2,3,3,2
1220,2,3,3,3
1221,2,3,3,3
1222,3,3,2,1
1223,2,2,2,1
1224,2,2,2,2
1225,2,2,2,3
1226,2,2,2,2
1227,2,4,3,2
1228,3,1,2,1
1229,3,3,2,2
1230,3,3,3,3
1231,3,3,2,3
1232,2,3,2,2
1233,2,3,2,2
1234,1,2,2,2
1235,3,2,2,3
1236,3,3,4,4
1237,2,2,2,1
1238,3,2,2,2
1239,2,1,2,1
1240,2,2,2,2
1241,2,3,2,2
1242,3,4,4,4
1243,3,3,2,1
1244,3,3,1,2
1245,3,2,3,1
1246,4,3,2,1
1247,1,1,2,3
1248,1,1,2,3
1249,2,2,2,1
1250,2,2,2,3
1251,3,3,2,2
1252,3,2,2,2
1253,2,3,2,2
1254,4,3,4,4
1255,1,2,2,2
1256,1,1,2,4
1257,1,1,2,3
1258,2,3,3,2
1259,1,3,2,3
1260,3,3,3,4
1261,2,2,3,2
1262,0,0,1,1
1263,2,1,2,2
1264,2,2,2,2
1265,1,2,2,2
1266,4,3,3,2
1267,2,2,2,2
1268,2,1,2,4
1269,1,2,2,2
1270,3,3,4,4
1271,3,4,2,3
1272,2,2,3,3
1273,2,3,2,2
1274,4,2,2,2
1275,2,3,3,1
1276,2,2,2,2
1277,3,3,4,4
1278,1,2,1,1
1279,1,2,3,4
1280,1,1,2,2
1281,4,3,3,4
1282,4,4,3,4
1283,2,3,1,2
1284,3,2,3,3
1285,3,4,3,3
1286,2,3,2,3
1287,3,3,4,3
1288,3,3,2,3
1289,2,2,2,2
1290,3,3,4,4
1291,1,1,3,3
1292,3,4,4,3
1293,3,2,3,3
1294,2,2,2,2
1295,2,2,2,2
1296,3,2,2,3
1297,2,2,2,2
1298,3,2,3,2
1299,2,2,3,1
1300,2,2,2,2
1301,3,3,4,3
1302,3,2,3,3
1303,2,2,2,1
1304,2,2,3,3
1305,2,4,3,3
1306,2,2,2,2
1307,1,2,2,3
1308,1,1,2,3
1309,2,2,2,3
1310,4,3,3,3
1311,3,3,3,3
1312,3,2,3,2
1313,4,1,2,3
1314,1,3,4,3
1315,3,3,3,3
1316,4,4,4,4
1317,2,2,2,2
1318,2,2,2,2
1319,1,1,1,1
1320,2,2,2,3
1321,1,1,2,2
1322,1,2,2,1
1323,4,4,1,1
1324,1,2,2,2
1325,2,3,4,4
1326,2,2,2,2
1327,2,2,2,3
1328,2,3,3,4
1329,2,2,2,2
1330,1,1,4,4
1331,3,3,1,2
1332,1,1,1,4
1333,2,4,2,3
1334,3,4,2,2
1335,2,4,3,1
1336,2,2,2,2
1337,1,2,3,3
1338,2,2,2,1
1339,1,1,2,3
1340,3,2,3,4
1341,2,3,3,3
1342,1,2,2,1
1343,3,3,4,4
1344,2,3,2,2
1345,2,3,4,4
1346,2,2,2,2
1347,4,4,3,3
1348,4,3,3,2
1349,3,2,4,3
1350,2,2,1,1
1351,2,3,2,1
1352,2,2,2,2
1353,3,3,2,4
1354,2,4,3,3
1355,2,1,2,2
