소분류코드,소분류명
A020203,선글라스(단기행사)
A020204,아이웨어
A020205,헤어
A020206,수입ACC
A020207,헤어ACC
A020208,국산ACC
A020209,14K
A020210,넥타이핀
A020211,기타(가발포장담배연구사진수선)
A020212,영플라자(장신)
A020213,ACC Bloom (1F)
A020214,ACC Bloom (3F)
A020301,화장품
A020302,기초 화장품
A020303,색조 화장품
A020304,향수
A020305,기타
A020306,기초A
A020307,영플라자(화장품)
A020308,영플라자 색조
A020309,아울렛(화장품)
A020310,아베다스파
A020311,라코스메티크
A020312,남성 화장품
A020401,조화
A020402,보석
A020501,시계
A020601,네셔널
A020602,직수입핸드백
A020603,가방
A020604,임대
A020605,4대 B/D
A020606,단기행사
A020607,영플라자(핸드백)
A020608,Bag&Bag
A020609,영플라자(구두)
A020701,캐릭터 여화
A020702,구두시즌
A020703,캐릭터 남화
A020704,구두단기행사
A020705,NB 여화
A020706,shoe`n shoe
A020707,금강그룹
A020708,정상구두
A020709,캐주얼화
A020710,파크랜드
A030101,N/B 아동복
A030102,L/C 아동복
A030103,수입 아동복
A030104,고정행사(아동복)
A030105,아동잡화
A030106,아동신발
A030107,단기행사(아동복)
A030108,키즈
A030109,유아복
A030110,유아용품
A030111,내의
A030112,완구
A030113,토들러
A030114,아동놀이시설
A040201,영플라자 (올리브핫스텁)
A040202,영플라자(영캐주얼)
A040203,영플라자(진/유니)
A040204,영플라자(이지)
A040205,영플라자(스트리트)
A040206,올리브핫스텁
A040207,영플라자(영캐릭터)
A040208,영플라자(영밸류)
A040209,영밸류 캐주얼
A040210,영플라자(쿨캐주얼)
A040211,영플라자 컬처캐주얼
A040212,수입브릿지
A040213,수입캐주얼
A040214,캐릭터캐주얼
A040215,수입캐릭터
A040216,이지캐주얼(행사)
A040217,스트리트
A040218,UNIT
A040219,여성의류
A040220,영캐주얼
A040221,영캐주얼행사
A040222,영 캐릭터
A040223,영 트렌디
A040224,global SPA
A040225,영 컨템포러리
A040227,유니섹스캐주얼
A040228,진캐주얼
A040229,이지캐주얼
A040230,유니섹스캐주얼행사
A040231,쿨캐주얼
A040232,프리미엄진
A040233,컬처캐주얼
A040234,GR-8
A040235,SPACE 5.1
A040237,이지캐주얼
A040238,편집샵
A040239,진스퀘어
A040240,캐주얼피혁
A040241,캐주얼단품
A040242,비아스텔리나
A040243,라뉴
A040244,Theory
A040245,비트윈
A040246,Taste5.1
A040247,아울렛
A040248,영레깅스편집샵
A040249,global 편집샵
A040250,KHOS
A040251,영플라자(KHOS)
A040252,유니크샵
A040253,영플라자(영스트리트)
A040254,영스트리트
A040255,영플라자(영캐주얼행사)
A040256,카카오프렌즈
A040257,케이웨이 상품군
A040258,까르뜨블랑슈 상품군
A040259,펜필드 상품군
A040260,팀버랜드 상품군
A040261,지오투
A040301,Knit & Knot(캐슬플라자)
A040302,커리어
A040303,커리어 행사
A040304,커리어 단독매입
A040305,세이브더칠드런
A040306,밸류커리어
A040307,안토니모라토 상품군
A040308,크로커다일 상품군
A040401,트래디셔널
A040501,Knit & Knot
A040502,엘레강스
A040503,시니어
A040504,나파피리상품군
A040601,란제리
A040602,패션내의
A040603,란제리행사
A040604,EC(해외잡화)
A040701,더블라우스
A040801,유니폼
A040802,홈웨어
A040803,니트단품
A040901,디자이너
A040902,디자이너부틱
A040903,디자이너캐릭터
A041001,모피
A041002,피혁
A041003,숙녀고정행사
A041004,숙녀단기행사
A050101,N.B정장
A050102,직수입정장
A050103,보기밀라노
A050104,정장점행사
A050105,갤럭시
A050106,로가디스
A050107,마에스트로
A050108,캠브리지
A050109,바쏘
A050110,빨질레리
A050111,니나리찌
A050112,닥스
A050113,킨록앤더슨
A050114,다반
A050115,브룩스브라더스
A050116,아울렛엘지패션
A050201,시티캐주얼
A050202,캐주얼토털
A050203,시티정장바지
A050204,시티단기행사
A050205,남성잡화
A050206,Maniz
A050207,갤럭시라이프스타일
A050208,로가디스그린
A050209,일꼬르소
A050210,클럽캠브리지
A050211,프랑코페라로
A050212,인디안
A050213,아날도바시니
A050214,에디션
A050215,벨라모
A050216,프로메이드
A050217,옴스
A050218,피에르가르뎅
A050219,el Trail
A050220,OUTDOOR+1
A050221,Fitness Square
A050222,청백
A050223,다비드컬렉션
A050224,남성잡화ACC2
A050225,el Bicar
A050226,ARCHIV
A050227,MODIUM
A050228,Last Scene
A050229,Leg 5:3:2
A050230,건강수면샵
A050301,수입화
A050302,어반스타일
A050303,트래디셔널Ⅱ
A050304,el Travel
A050305,빈폴상품군
A050306,폴로상품군
A050307,라코스테상품군
A050308,타미힐피거상품군
A050309,헤지스상품군
A050310,헨리코튼상품군
A050311,올젠상품군
A050312,프레드페리상품군
A050401,교복
A050501,비지니스군
A050502,셔츠고정행사
A050503,셔츠단기행사
A050504,남성잡화 ACC
A050601,트랜디
A050602,컨템포러리
A050603,단기행사
A050604,어반캐주얼
A050605,지이크
A050606,ANDZ
A050607,엠비오
A050608,레노마
A050609,BON
A050610,코모도스퀘어
A050611,지오송지오
A050612,이지오
A050613,워모
A050614,TNGT
A050615,킨록by킨록앤더슨
A050616,TI포맨
A050617,커스텀멜로우
A050618,시리즈
A050619,레드옥스
A050620,S+by트루젠
A050621,리버클래시
A050622,DKNY
A050623,IMZ프리미엄
A050624,반하트디알바자
A050625,솔리드옴므
A050626,질스튜어트NY
A050627,캘빈클라인
A050628,클럽모나코
A050629,타임옴므
A050630,휴고보스
A050631,PAT
A050632,바버 상품군
A060101,백팩편집
A060102,아웃도아
A060103,수영복
A060104,휘트니스
A060105,가 방
A060106,운동용품
A060107,스포츠용품
A060108,스키
A060109,고정행사(레져)
A060110,단기행사(레져)
A060111,선글라스
A060112,시즌수영복
A060113,등산화
A060114,L/C 아웃도어
A060115,직수입 아웃도어
A060116,노스페이스
A060117,에이글
A060118,코오롱스포츠
A060119,K2
A060120,K2플라이워크
A060121,아이더
A060122,블랙야크
A060123,마모트
A060124,마운티아
A060125,컬럼비아
A060126,마운틴하드웨어
A060127,네파
A060128,이젠벅
A060129,밀레
A060130,라푸마
A060131,슈나이더
A060132,머렐
A060133,빈폴아웃도어
A060134,디스커버리
A060135,몽벨
A060136,바이클로
A060137,센터폴
A060138,트렉스타(의)
A060139,트렉스타(신)
A060140,휠라아웃도어
A060141,콜핑
A060142,카리모어
A060143,레드페이스
A060144,에코로바
A060145,웨스트우드
A060146,투스카로라
A060147,아크테릭스
A060148,몬츄라
A060149,피엘라벤
A060150,파타고니아
A060151,살로몬
A060152,오클리
A060153,웍앤톡
A060154,스노우피크
A060155,메아리
A060156,시에라
A060157,볼레
A060158,마모트카페(Rodge201)
A060159,킨
A060160,레저스포츠 단독매입
A060161,와이드앵글
A060162,한성에프아이
A060163,루이까스텔
A060164,프레지던츠골프
A060165,풋조이
A060166,스포츠의류
A060167,스포츠화
A060168,고정행사(스포츠)
A060169,단기행사(스포츠)
A060170,영플라자(의류)
A060171,영플라자(신발)
A060172,나이키의류
A060173,아디다스의류
A060174,나이키화
A060175,아디다스화
A060176,뉴발란스아울렛
A060177,슈즈플러스
A060178,배드민턴스퀘어
A060179,아울렛 제일모직
A060201,N/B골프의류
A060202,L/C골프의류
A060203,직수입 골프의류
A060204,골프용품
A060205,단기행사(골프)
A060206,청백
A060207,아놀드파마
A060208,닥스골프
A060209,헤지스골프
A060210,잭니클라우스
A060211,엘로드
A060212,울시
A060213,레노마골프
A060214,휠라골프
A060215,핑
A060216,팬텀골프
A060217,슈페리어
A060218,이동수골프
A060219,빈폴골프
A060220,엘르골프
A060221,캘러웨이
A060222,타이틀리스트
A060223,김영주골프
A060224,JDX골프
A060225,피가로
A060226,링스
A060227,그린조이
A060228,까스텔바작
A060229,엠유스포츠
A060230,보그너
A060231,아다바트
A060232,먼싱웨어
A060233,르꼬끄골프
A060234,파리게이츠
A060235,블랙앤화이트
A060236,나이키골프
A060237,아디다스골프
A060238,폴로골프
A060239,휴고보스골프
A060240,데상트골프
A060241,글로벌골프프라자
A060242,매일통상
A060243,우리골프
A060244,애드파골프
A060245,갤러리골프
A060246,명성골프
A060247,매직스포츠
A060248,AK골프
A060249,골프존마켓
A060250,애플라인드
A060251,파리게이츠 상품군
A060252,해리토리 상품군
A070101,국산A/V
A070102,국산냉장고.세탁기
A070103,수입냉장고
A070104,수입세탁기
A070105,수입A/V
A070201,가스기기
A070202,수입청소기 외
A070203,기능성소품
A070301,MP3 外
A070302,컴퓨터
A070303,IT 게임기S/W
A070304,디지털카메라
A070401,피아노/악기
A070402,악기
A070403,음반
A070501,명품오디오
A070601,에어컨
A070602,전기밥솥
A070603,수입소형가전
A070604,기타국산소형가전
A070605,김치냉장고
A070606,건강가전
A070607,행사
A070608,에스프레소
A080101,갤러리
A080102,수입잡화
A080103,수입의류
A080104,직수입
A080105,잡화멀티샵
A080106,명품잡화
A080107,명품잡화보석
A080108,명품기타
A080109,명품잡화행사
A080110,디자이너
A080111,어덜트
A080112,컨템포러리
A080113,명품남성
A080114,명품의류행사
A080115,명품의류기타
A080116,명품시계기타
A080117,명품보석
A080118,힐앤토트
A080119,주얼리멀티
A080120,명품멀티기타
A080121,엘리든
A080122,global 편집샵
A080123,남성해외패션
A080124,갤러리
A080125,어덜트
A090101,수입주방
A090102,주방잡화
A090103,수      저
A090104,국산주방
A090105,주방단기행사
A090106,임      대
A090107,휴모니아
A090108,주방 단독매입
A090109,토탈리빙
A090110,한샘
A090201,서적
A090202,필기류
A090301,생화
A090302,이미용
A090303,캔들디퓨져
A090304,타월
A090305,욕실용품
A090306,매트
A090307,장식소품
A090308,토탈데코
A090309,그림
A090310,단기행사
A090311,소품가구
A090312,기능성침대
A090401,크리스탈
A090402,그라스
A090403,국산도자기
A090404,수입도자기
A090405,전통도자기
A090406,식기단기행사
A090407,락앤락
A090501,종합가구
A090502,수입가구
A090503,침대
A090504,소파
A090505,식탁
A090506,원목학생철재
A090507,일반침대
A090508,건강침대
A090509,일반침대(에이스)
A090510,건강침대(흙침대)
A090601,카페트
A090602,N.B
A090603,L.B
A090604,수입침구
A090605,한실침구
A090606,수예소품
A090607,커       튼
A090608,수예단기행사
A090609,건강베개
A090610,아동침구
A090701,웨딩
B010101,가지
B010102,고추
B010103,구색 호박
B010104,기타열매채소
B010105,단호박
B010106,애호박
B010107,여주
B010108,오이
B010109,옥수수
B010110,친환경열매채소
B010111,콩류
B010112,피망
B010201,건버섯
B010202,느타리버섯
B010203,버섯모둠
B010204,버섯선물세트
B010205,새송이버섯
B010206,양송이버섯
B010207,이색버섯
B010208,팽이버섯
B010209,표고버섯
B010301,온라인열매채소
B020101,나물/부침
B020102,반찬류
B020103,젓갈류
B020104,즉석김치류
B020105,즉석국탕/볶음
B020201,제철반찬
B020202,김장김치
B030101,저염젓갈
B030102,일반젓갈
B030201,절임반찬
B030202,조림반찬
B030203,메인요리
B030204,볶음/무침반찬
B040101,일반미
B040102,기능성미
B040103,친환경양곡
B040201,미곡류
B040202,콩류
B040203,보리류
B040204,잡곡기타
B040205,혼합잡곡
B040206,친환경잡곡
B040207,벌크잡곡
B040301,즉석도정미
B040302,친환경도정미
B040401,양곡가공
B050101,시금치
B050102,상추
B050103,미나리
B050104,부추
B050105,쑥갓
B050106,깻잎
B050107,얼갈이
B050108,아욱
B050109,근대
B050110,양배추
B050111,기타잎채소
B050112,쌈채소
B050113,봄동
B050114,죽순
B050115,고구마순
B050116,생나물
B050117,친환경채소(특약)
B050118,친환경잎채소
B050119,온라인 잎채소
B050201,감자
B050202,고구마
B050203,당근
B050204,연근
B050205,우엉
B050206,마
B050207,기타뿌리채소
B050301,오이
B050302,고추
B050303,피망
B050304,콩류
B050305,옥수수
B050306,가지
B050307,기타과채류
B050308,애호박
B050309,단호박
B050310,기타호박
B050311,다다기오이
B050312,취청오이
B050313,가시오이
B050314,기타오이
B050401,건버섯
B050402,버섯모둠
B050403,친환경팽이버섯
B050404,표고버섯
B050405,일반느타리버섯
B050406,양송이버섯
B050407,새송이버섯
B050408,기타버섯
B050409,친환경참맛느타리
B050410,버섯류 선물세트
B050501,파프리카
B050502,양상추
B050503,브로콜리
B050504,구색양채
B050505,기타양채
B050506,즙용양채
B050507,아스파라거스
B050508,샐러드채소
B050509,구색샐러드채소
B050510,즙용샐러드채소
B050511,친환경샐러드채소
B050512,향신채소
B050601,인삼
B050602,기타약초
B050603,더덕
B050604,백련초
B050605,황기
B050606,구기자
B050607,둥글레
B050701,대파
B050702,양파
B050703,깐마늘
B050704,생강
B050705,건고추
B050706,기타양념
B050707,쪽파
B050708,피마늘
B050709,마늘쫑
B050710,양념류 선물세트
B050801,식자재
B050901,친환경쌈채소
B050902,친환경뿌리채소
B050903,친환경열매채소
B050904,친환경샐러드채소
B050905,친환경양념채소
B050906,친환경잎채소
B051001,친환경김치채소
B051002,배추
B051003,얼갈이
B051004,열무
B051005,무우
B051006,갓
B051007,알타리무
B051101,온라인잎채소
B051201,Local근대
B051202,Local기타잎채소
B051203,Local깻잎
B051204,Local미나리
B051205,Local부추
B051206,Local상추
B051207,Local시금치
B051208,Local쌈채소
B051209,Local쑥갓
B051210,Local아욱
B051211,Local양배추
B051301,Local갓
B051302,Local무우
B051303,Local배추
B051304,Local얼갈이
B051305,Local열무
B051401,간편구색
B051402,간편양념
B051403,드레싱
B051404,샐러드
B060101,대구
B060102,우럭
B060103,도미
B060104,조기
B060105,고등어
B060106,갈치
B060107,꽁치
B060108,명태
B060109,가자미
B060110,삼치
B060111,임연수
B060112,아귀
B060113,병어
B060114,게
B060115,구색선어
B060116,오징어류
B060117,민어
B060118,연어
B060201,굴비
B060202,반건생선
B060203,냉동포장
B060301,선어세트
B060302,해물선물세트
B060303,굴비세트
B060401,국산고등어
B060402,국산고등어자반
B060403,국산삼치
B060501,국산대구
B060601,국산도미
B060602,국산민어
B060701,국산청어
B060702,국산금태
B060703,국산우럭
B060704,국산임연수어
B060705,국산아귀
B060706,국산병어
B060707,국산기타구색생선
B060801,국산꽁치
B060802,국산가자미
B060901,국산오징어
B060902,국산한치
B061001,국산참조기
B061002,부세조기
B061003,국산백조기
B061004,긴가이석태
B061005,영상가이석태
B061006,기타조기
B061007,국산명태
B061101,국산꽃게
B061102,국산대게
B061103,국산홍게
B061104,국산기타게
B061105,국산갈치
B070101,마른안주 선물세트
B070102,해조류세트
B070103,멸치황태세트
B070201,즉석어포
B070202,즉석오징어
B070203,즉석쥐포
B070301,건오징어
B070302,조미오징어
B070303,육포
B070304,쥐치포
B070305,온라인 안주
B070401,멸치
B070402,황태북어
B070501,김
B070502,조미김
B070503,미역
B070504,다시마
B070601,즉석안주
B070602,즉석김
B070603,특산물행사
B070701,동해안건오징어
B070702,반건오징어
B070703,울릉도건오징어
B070704,원양산건오징어
B070801,백진미
B070802,홍진미
B070803,훈제구이진미
B070901,국산육포
B070902,돈닭치즈육포
B070903,수입산육포
B071001,구운쥐치포
B071002,어포류
B071003,쥐치포
B071101,육포세트
B080101,햄버거
B080102,F/F기타
B080201,사진관
B080202,안경점
B080203,유원시설
B080204,기타편의시설
B080205,소극장
B080301,피자레스토랑
B080302,뷔페레스토랑
B080303,한식레스토랑
B080304,중식레스토랑
B080305,일식레스토랑
B080306,양식레스토랑
B080307,기타레스토랑
B080401,커피
B080402,생과일
B080403,베이커리
B080404,아이스크림
B080501,캔들
B080502,기타판매시설
B080503,안경점
B080504,서적
B080505,기프트 샵
B080506,경정비
B080601,주유소
B090101,회전초밥
B090102,아이스크림
B090103,푸드몰
B090201,케익
B090202,페스츄리
B090203,식빵
B090204,과자빵
B090205,페스츄리류
B090206,도넛류
B090207,케익
B090208,기타
B090209,온라인 베이커리
B090301,꼬치
B090302,훈제/로스트
B090401,일반튀김
B090402,치킨
B090501,도시락
B090502,김밥
B090503,초밥
B090601,족발
B090602,순대
B090603,꼬치
B090604,구이
B090701,포장반찬
B090702,김치
B090703,젓갈
B090704,반찬
B090801,선식
B090802,떡
B090901,지역특산물
B090902,떡/강정
B090903,먹거리
B091001,전통간식
B091002,월드간식
B091101,한식
B091102,아시안
B091103,음료
B091104,양식
B091201,후라이드
B091202,즉석어묵
B091203,치킨
B091301,피자
B091302,베이크
B100101,과일음료
B100102,과채음료
B100103,냉장차음료
B100104,냉장커피음료
B100105,수입냉장음료
B100106,냉장음료
B100201,데일리처분
B100301,기능성우유
B100302,친환경우유
B100303,어린이우유
B100304,멸균흰우유
B100305,일반흰우유
B100306,기능성시유
B100307,테트라시유
B100401,과일맛우유
B100402,커피/초코우유
B100403,견과우유/냉장두유
B100404,멸균가공우유
B100405,일반가공유
B100406,펫가공유
B100407,테트라가공유
B100501,마시는요구르트
B100502,어린이/액상요구르트
B100503,드링크요구르트
B100504,떠먹는요구르트
B100601,치즈
B100602,버터/마가린
B100603,디저트
B100604,크림/연유
B100701,일반빵류
B100702,케익
B100703,식빵류
B100704,찐빵류
B100705,패스트리
B100801,간식용치즈
B100802,슬라이스치즈
B100803,요리용치즈
B100901,냉장케익
B100902,젤리
B100903,푸딩
B101001,버터/마가린
B101002,크림연유
B110101,자연조미료
B110102,가공조미료
B110103,식초
B110104,소금
B110105,향신료
B110106,설탕
B110107,액젓
B110108,천연조미료
B110201,케찹
B110202,마요네즈
B110203,소스
B110204,음용식초
B110205,물엿/올리고당
B110206,드레싱
B110301,간장
B110302,고추장
B110303,된장
B110304,쌈장
B110305,춘장
B110401,식용유
B110402,참기름
B110403,기타고급유
B110404,올리브유
B110405,일반유
B110406,카놀라유
B110407,포도씨유
B110408,마가린
B110501,조미혼합세트
B110502,식용유세트
B110503,참기름세트
B110504,장류세트
B110505,식용유지세트
B110506,기타세트
B110601,곡물가루
B110602,농산가루
B110603,가공선식
B110604,부침/튀김가루
B110605,홈메이드믹스
B110606,제빵재료
B110701,직영식자재
B110702,특정식자재
B110801,자연향신료
B110901,액젓
B110902,요리식초
B110903,음료식초
B111001,가공조미료
B111002,자연조미료
B111101,설탕
B111102,소금
B111103,액상과당
B111201,수입소스
B111202,수입유지
B111203,수입장류
B111204,수입조미료
B120101,즉석반찬
B120102,분말조리식품
B120103,즉석밥/죽
B120201,봉지면
B120202,용기면
B120301,국수
B120302,당면
B120303,건냉면
B120304,생면
B120305,파스타류
B120401,유아푸드
B120402,분유
B120403,이유식
B120501,일반잼
B120502,과일잼
B120503,스프레드
B120504,프리미엄잼
B120601,농산물통조림
B120602,수산통조림
B120603,축산물통조림
B120604,과일통조림
B120605,참치통조림
B120606,채소통조림
B120607,온라인 통조림
B120701,통조림선물세트
B120702,혼합선물세트
B120801,이유식
B120802,유아과자
B120803,유아기타간식
B120804,유아음료
B120901,성인두유
B120902,유아두유
B130101,커피크림
B130102,인스턴트커피
B130103,원두커피
B130104,커피선물세트
B130201,코코아
B130202,녹차
B130203,액상차
B130204,티백차
B130205,식수용차
B130206,T-SHOP
B130207,침출차
B130208,분말차
B130209,아이스티
B130210,건강미용차
B130211,차 선물세트
B130301,건강식품
B130302,꿀
B130303,홍삼
B130304,비타민
B130305,꿀 선물세트
B130306,건강선물세트
B130401,국산담배
B130402,수입담배
B130501,믹스커피
B130502,아이스커피
B130503,용기리필커피
B130601,분쇄원두커피
B130602,스틱원두커피
B130603,캡슐원두커피
B130604,티백/드립 커피
B130605,홀빈원두커피
B130701,커피선물세트
B130801,분말차
B130802,아이스티
B130803,액상차
B130804,코코아
B130901,차선물세트
B131001,국산꿀
B131002,수입꿀
B140101,감자스낵
B140102,콘스낵
B140103,일반스낵
B140104,쌀스낵
B140105,기타스낵
B140106,온라인 스낵
B140201,쿠키
B140202,크래커
B140203,샌드
B140204,웨하스
B140205,화과자
B140206,스틱과자
B140207,온라인 비스켓
B140301,파이
B140302,케이크
B140303,온라인 파이
B140401,패밀리용시리얼
B140402,어린이용시리얼
B140403,성인용시리얼
B140404,온라인 시리얼
B140501,젤리
B140502,하드캔디
B140503,소프트캔디
B140504,토이캔디
B140505,워터젤리
B140506,팥빙수재료
B140507,온라인 캔디
B140601,국산초콜릿
B140602,초콜릿바
B140603,판초콜릿
B140604,쉘초콜릿
B140605,바초콜릿
B140606,코팅초콜릿
B140607,가공초콜릿
B140608,온라인 초콜릿
B140701,일반껌
B140702,기호껌
B140703,기능성껌
B140704,풍선껌
B140705,키즈껌
B140801,농산안주
B140802,스넥안주
B140803,기타안주
B140901,기호한과
B141001,과자선물세트
B141101,유기농과자
B141102,프리미엄비스켓
B141103,프리미엄스낵
B141104,프리미엄초콜릿
B141105,프리미엄캔디
B141106,프리미엄파이
B141201,간식용소시지
B141202,기타 간식용과자
B141203,맛밤류
B141301,수입껌
B141302,수입비스켓
B141303,수입스낵
B141304,수입초콜릿
B141305,수입캔디
B141306,수입파이
B141307,온라인수입과자
B141401,과자선물세트
B141402,캐릭터과자
B141501,옛날과자
B141502,온라인전통과자
B141503,온라인팥빙수재료
B141504,팥빙수재료
B141505,한과
B141506,화과자
B150101,생수
B150102,국내생수
B150103,수입생수
B150104,탄산수
B150105,온라인 생수
B150201,채소음료
B150202,과일음료
B150203,과채혼합음료
B150204,어린이음료
B150205,유기농음료
B150206,온라인과채음료
B150207,과일/야채음료
B150208,선물세트 과즙음료
B150301,두유
B150302,영유아두유
B150401,사이다
B150402,콜라
B150403,온라인 탄산음료
B150404,혼합탄산
B150501,이온음료
B150601,커피음료
B150602,차음료
B150603,온라인커피차음료
B150604,혼합음료
B150605,차혼합음료
B150701,의약외품음료
B150702,기능성건강음료
B150703,비타민음료
B150704,에너지음료
B150705,비타/에너지음료
B150706,기능성음료
B150707,기능성음료선물세트
B150801,수입과채혼합음료
B150802,수입탄산/이온음료
B150803,수입커피/수입혼합차음료
B160101,병소주
B160102,페트소주
B160201,국산맥주
B160202,수입맥주
B160203,무알콜맥주
B160301,레드와인
B160302,화이트와인
B160303,와인선물세트
B160401,민속주
B160402,막걸리
B160403,과실주
B160404,전통주선물세트
B160501,동양전통주
B160502,위스키
B160503,일본술
B160504,브랜디
B160505,리큐르
B160506,중국술
B160507,양주선물세트
B170101,분말세제
B170102,세탁비누
B170103,액체세제
B170104,세탁보조제
B170105,섬유유연제
B170106,표백제
B170107,온라인 세탁세제
B170201,방향탈취제
B170202,살충제
B170203,주거청소세제
B170204,락스
B170205,제습제
B170301,식기세제
B170302,천연세정제
B170303,온라인 주장세제
B170401,일반섬유유연제
B170402,고농축섬유유연제
B170403,온라인섬유유연제
B170501,일반표백제
B170502,고농축표백제
B170601,파리모기살충제
B170602,바퀴개미살충제
B170603,방충제
B170701,탈취제
B170801,제습제
B180101,아기기저귀
B180102,성인용기저귀
B180201,롤티슈
B180202,미용티슈
B180203,키친타올
B180204,물티슈
B180205,가정용화장지
B180206,업소용화장지
B180207,온라인 화장지
B180301,생리대
B180302,삽입형생리대
B180303,팬티라이너
B180401,젖병세정제
B180402,유아세탁세제
B180403,온라인 유아세제
B180501,유아기저귀
B180502,온라인유아기저귀
B180503,유아세제
B180504,수유용품
B180505,온라인수유용품
B180506,유아용품
B180601,시니어용품
B180602,환자용위생용품
B180603,요실금용위생용품
B180701,부직포생리대
B180702,매쉬형생리대
B180703,순면생리대
B180704,오버나이트
B180705,일반생리대
B180706,탐폰형생리대
B180707,팬티라이너
B180708,온라인여성위생용품
B180801,키친타올
B180802,냅킨
B180901,유아물티슈
B180902,일반물티슈
B180903,기능성물티슈
B180904,온라인물티슈
B181001,미용티슈
B181002,여행용미용티슈
B190101,치약
B190102,칫솔
B190103,구강청결제
B190104,전동칫솔
B190105,치간칫솔
B190106,여행용품
B190107,온라인 구강용품
B190201,염색약
B190202,샴푸
B190203,모발영양케어
B190204,린스
B190205,헤어스타일링
B190206,새치용염색약
B190207,칼라용염색약
B190208,온라인헤어스타일링
B190209,온라인 헤어용품
B190301,면도기
B190302,면도보조용품
B190303,면도날
B190401,미용비누
B190402,바디클린져
B190403,훼이셜클린져
B190404,핸드워시
B190501,바디스킨케어
B190502,유아스킨케어
B190503,훼이셜스킨케어
B190504,온라인 스킨케어
B190601,의약외품
B190602,건강용품
B190701,바디용품선물세트
B190702,브랜드세트
B190703,종합세트
B190704,온라인H&B선물세트
B190801,일반기획
B190802,일반샴푸단품
B190803,일반린스단품
B190804,온라인일반헤어케어
B190901,프리미엄샴푸
B190902,모발영양케어
B190903,온라인기능헤어케어
B190904,모근/한방샴푸
B190905,두피샴푸
B190906,내추럴샴푸
B200101,그릇
B200102,수저
B200103,컵
B200104,기호품
B200201,조리용기
B200202,조리기구
B200203,온라인 음식조리
B200301,저장용기
B200302,랩/호일
B200303,물병
B200304,밀폐용기
B200305,저장병
B200401,주방정리용품
B200402,설거지용품
B200501,도시락/찬합
B200502,일회용품
B200503,나들이용품
