,1기구매등급,2기구매등급,3기구매등급,4기구매등급,5기구매등급,6기구매등급,7기구매등급,변동계수
173,1,1,2,1,1,2,2,2.6981132075471694
174,4,6,6,4,5,6,5,5.71111111111111
175,2,3,2,3,2,2,2,4.673469387755103
176,3,2,4,2,1,2,3,2.479591836734694
177,2,3,3,1,3,1,1,2.0
178,2,2,1,2,2,1,1,2.9622641509433962
179,6,7,6,6,5,7,9,5.1732283464566935
180,2,1,4,3,9,4,10,1.3652173913043477
181,10,9,6,6,6,6,7,4.25
182,1,1,2,2,1,2,2,2.9622641509433962
183,2,6,8,6,7,6,4,2.798994974874372
184,6,7,5,7,6,7,5,6.822222222222222
185,2,2,1,1,1,2,2,2.9622641509433962
186,2,3,3,3,2,2,5,2.672897196261682
187,1,1,2,1,2,2,1,2.6981132075471694
188,9,3,3,2,6,3,2,1.5503875968992247
189,8,7,8,8,9,8,8,13.793103448275863
190,6,5,6,6,7,6,6,10.344827586206897
191,9,10,10,10,10,9,8,11.936708860759493
192,4,2,4,3,3,4,4,4.341772151898734
193,3,3,4,1,2,1,1,1.7685950413223142
194,9,4,7,7,9,5,5,3.301507537688442
195,9,4,5,4,4,5,6,2.9388888888888887
196,6,6,6,6,8,6,10,4.369426751592357
197,1,1,1,1,2,2,1,2.63265306122449
198,2,1,1,1,1,2,1,2.63265306122449
199,9,9,9,10,9,9,9,24.05263157894737
200,4,4,4,4,6,5,4,5.6075949367088604
201,3,4,4,3,4,7,5,3.1086956521739135
202,6,7,5,6,5,8,6,5.738317757009345
203,9,10,8,8,10,8,9,9.844444444444443
204,1,1,1,1,2,8,10,0.8863049095607235
205,3,6,5,4,10,4,6,2.360869565217391
206,10,10,10,9,10,9,10,19.816326530612248
207,6,9,4,8,3,5,3,2.291139240506329
208,4,5,5,4,7,3,6,3.6
209,3,3,4,3,3,2,2,4.144927536231884
210,5,4,6,8,7,3,5,3.1569767441860463
211,8,7,7,7,6,6,5,6.704081632653062
212,6,7,7,7,7,8,8,10.347826086956522
213,7,8,8,8,10,5,8,5.14
214,1,1,1,1,1,1,1,0.0
215,2,2,4,2,3,2,3,3.253164556962025
216,5,5,6,5,6,4,4,6.097560975609756
217,8,9,8,6,7,9,8,7.345794392523365
218,1,2,1,2,1,2,1,2.6981132075471694
219,3,3,4,1,1,1,1,1.5503875968992247
220,1,1,1,1,1,1,1,0.0
221,1,1,1,1,1,1,1,0.0
222,8,6,9,8,9,5,8,5.013245033112583
223,10,10,10,8,10,10,10,12.776315789473685
224,7,9,8,9,7,8,5,5.4071428571428575
225,2,1,3,2,2,1,1,2.25
226,5,6,9,8,6,5,6,4.258278145695364
227,8,6,5,8,9,9,9,4.81875
228,9,6,7,8,8,9,8,7.345794392523365
229,7,8,3,7,7,3,5,2.7718446601941746
230,6,4,5,4,3,3,1,2.3187499999999996
231,3,3,2,4,2,2,3,3.5657894736842106
232,8,8,10,10,10,9,7,7.322314049586777
233,2,2,2,3,1,3,2,3.1014492753623193
234,10,5,6,3,8,5,7,2.7467248908296944
235,1,1,1,1,1,1,1,0.0
236,4,2,6,6,10,9,5,2.1660649819494586
237,2,4,2,2,1,1,2,2.0
238,10,9,10,7,8,8,7,6.637795275590551
239,10,10,10,9,9,10,7,8.369369369369368
240,4,4,4,3,4,5,4,6.8965517241379315
241,3,3,1,2,2,2,1,2.4390243902439024
242,4,4,3,3,3,5,5,4.288888888888889
243,4,3,5,5,2,3,3,3.1592920353982303
244,1,1,1,2,1,1,1,2.9999999999999996
245,1,1,1,1,1,1,1,0.0
246,1,2,2,3,2,3,2,3.1014492753623193
247,9,8,8,6,6,6,10,4.672839506172839
248,1,1,2,2,2,3,1,2.25
249,1,1,1,1,1,1,1,0.0
250,1,1,2,1,1,1,1,2.9999999999999996
251,1,1,1,1,1,1,1,0.0
252,5,6,7,5,6,6,7,7.317073170731708
253,1,1,1,1,1,1,1,0.0
254,3,1,4,2,4,3,7,1.805263157894737
255,5,5,6,6,9,10,8,3.5
256,2,3,7,3,5,4,4,2.4539877300613497
257,3,2,3,4,3,2,3,4.144927536231884
258,8,10,9,10,10,9,9,12.223684210526315
259,9,8,7,4,6,9,8,4.05
260,1,1,1,1,1,1,1,0.0
261,4,2,1,4,3,2,2,2.274336283185841
262,3,2,3,1,2,3,4,2.6224489795918364
263,2,2,3,2,2,4,4,2.8526315789473684
264,1,1,1,2,1,2,2,2.6981132075471694
265,9,8,9,9,8,8,8,15.905660377358489
266,3,1,2,2,3,3,2,3.013157894736842
267,3,4,4,4,3,5,2,3.642857142857143
268,2,1,2,2,1,2,2,3.489795918367347
269,10,10,10,10,9,9,9,18.056603773584904
270,2,2,1,2,3,2,2,3.4482758620689657
271,9,8,8,8,4,7,10,4.07936507936508
272,7,4,5,5,6,3,6,3.807407407407407
273,8,10,10,10,10,10,10,12.776315789473685
274,4,2,1,4,1,3,5,1.8216560509554138
275,2,2,1,1,3,2,2,2.695652173913044
276,1,2,2,2,2,1,1,2.9622641509433962
277,2,2,3,2,3,3,2,4.584905660377358
278,1,1,1,1,1,1,1,0.0
279,10,10,10,10,10,10,10,0.0
280,10,10,10,10,9,10,9,19.816326530612248
281,3,4,5,2,4,3,4,3.642857142857143
282,9,6,9,10,9,9,6,5.1812499999999995
283,3,3,3,3,3,3,3,0.0
284,7,4,4,6,4,7,5,3.8333333333333335
285,10,9,5,5,6,7,7,3.6649214659685865
286,8,7,7,7,10,7,6,5.850393700787401
287,2,2,1,1,1,1,2,2.6981132075471694
288,7,6,3,6,3,5,4,3.0955414012738856
289,3,4,2,1,2,2,1,2.0
290,10,4,3,4,1,3,4,1.4838709677419353
291,1,1,2,3,2,1,4,1.7391304347826089
292,4,2,1,2,3,2,2,2.4105263157894736
293,4,1,1,1,1,1,1,1.2654867256637168
294,2,5,3,8,4,8,8,2.11284046692607
295,4,4,5,4,4,4,4,10.894736842105262
296,2,3,5,3,2,3,5,2.632
297,3,3,3,2,5,3,4,3.463157894736842
298,2,6,7,5,2,6,5,2.378787878787879
299,5,4,1,1,2,1,1,1.273809523809524
300,1,1,1,2,1,1,1,2.9999999999999996
301,3,3,1,3,1,3,1,2.0
302,2,1,2,2,2,2,3,3.4482758620689657
303,5,3,4,3,5,7,7,2.8928571428571432
304,2,1,1,2,2,2,1,2.9622641509433962
305,3,4,6,8,4,6,3,2.6129032258064515
306,3,2,4,3,2,3,3,4.144927536231884
307,9,6,4,4,4,6,9,2.6785714285714284
308,1,2,2,2,2,2,2,4.894736842105264
309,1,2,3,1,4,2,3,2.063063063063063
310,1,1,1,1,1,1,1,0.0
311,1,4,3,1,3,4,1,1.735714285714286
312,4,2,2,4,6,6,2,2.061111111111111
313,3,4,3,3,8,4,4,2.3389830508474576
314,1,2,2,3,2,3,2,3.1014492753623193
315,3,6,5,6,4,3,5,3.598425196850394
316,1,2,1,2,1,3,2,2.25
317,4,4,3,5,3,5,2,3.342342342342342
318,2,1,2,2,2,1,3,2.695652173913044
319,2,2,1,2,1,2,1,2.9622641509433962
320,2,2,2,4,6,4,3,2.1933333333333334
321,2,2,5,4,1,3,3,2.1185185185185182
322,1,2,2,2,1,2,2,3.489795918367347
323,3,3,2,2,1,3,3,3.0759493670886076
324,1,1,1,3,3,3,2,2.0
325,10,10,10,10,6,6,5,3.478632478632479
326,6,7,8,8,8,8,8,9.582278481012658
327,2,3,3,3,2,2,3,4.849056603773584
328,4,3,3,3,3,2,3,5.172413793103448
329,6,3,4,4,4,3,2,2.968
330,2,1,1,1,1,1,2,2.63265306122449
331,4,6,8,8,8,6,6,4.3509933774834435
332,2,1,1,1,1,1,1,2.9999999999999996
333,5,5,6,9,5,5,7,3.9215686274509802
334,4,3,3,5,4,4,3,4.881578947368421
335,3,3,2,3,2,4,4,3.658536585365854
336,3,2,1,1,1,1,1,1.810126582278481
337,7,8,8,8,7,8,8,15.73469387755102
338,2,3,3,4,3,1,3,2.8526315789473684
339,2,3,4,3,7,5,4,2.4539877300613497
340,2,1,1,1,2,3,4,1.7391304347826089
341,9,8,9,7,10,8,6,6.029629629629629
342,4,4,4,6,5,5,6,5.4
343,7,7,5,6,7,6,8,6.704081632653062
344,1,2,1,3,1,3,1,1.8
345,8,7,8,7,10,6,3,3.2407407407407405
346,2,1,3,3,2,3,7,1.5706806282722514
347,1,1,1,1,1,1,1,0.0
348,9,7,6,9,5,7,8,4.86
349,8,7,7,9,9,6,7,6.6991150442477885
350,8,2,1,1,1,9,7,1.1280653950953679
351,3,5,2,1,2,2,2,1.9133858267716537
352,8,6,8,8,7,7,9,7.724489795918368
353,4,2,4,1,2,2,2,2.1504424778761067
354,3,4,3,3,2,4,4,4.328947368421052
355,3,5,3,4,7,3,2,2.2976190476190474
356,1,1,2,2,2,2,1,2.9622641509433962
357,6,7,8,8,5,4,3,3.0051282051282056
358,1,1,1,4,1,1,2,1.3893805309734515
359,10,4,4,7,5,6,6,2.8846153846153846
360,1,1,1,2,3,2,4,1.7391304347826089
361,10,9,9,8,9,9,8,12.840579710144928
362,1,1,2,1,1,1,1,2.9999999999999996
363,3,2,1,3,2,3,1,2.3777777777777778
364,2,2,3,2,2,1,3,3.1014492753623193
365,6,8,9,7,9,6,7,5.850393700787401
366,5,7,6,6,6,5,5,7.513157894736842
367,8,6,8,6,8,8,7,7.673684210526316
368,8,3,6,1,1,1,1,1.0380622837370241
369,2,1,3,2,2,2,2,3.4482758620689657
370,1,1,1,1,1,1,1,0.0
371,10,10,10,10,10,10,10,0.0
372,2,1,2,1,2,2,1,2.9622641509433962
373,2,1,2,2,2,2,2,4.894736842105264
374,5,5,6,6,3,4,4,4.243243243243243
375,10,7,9,9,10,10,10,8.369369369369368
376,8,4,3,3,3,3,4,2.1857923497267757
377,1,1,2,2,4,1,4,1.5851851851851853
378,3,2,2,1,2,2,2,3.4482758620689657
379,9,9,10,9,8,6,6,5.1847133757961785
380,9,6,5,9,9,9,9,4.624277456647399
381,2,4,2,3,8,4,3,1.8009708737864076
382,2,1,1,1,1,1,1,2.9999999999999996
383,1,1,1,1,1,1,1,0.0
384,5,5,5,8,5,5,5,4.8053097345132745
385,8,7,7,6,8,7,8,9.592105263157894
386,1,1,1,6,9,2,1,0.9345794392523364
387,9,10,10,8,10,8,6,5.8066666666666675
388,2,1,8,1,1,1,3,0.9455252918287939
389,5,5,8,8,5,5,7,4.205479452054794
390,6,7,8,7,3,7,4,3.278688524590164
391,7,5,8,5,7,6,9,4.473333333333334
392,5,5,5,4,6,6,4,6.097560975609756
393,1,2,2,1,4,1,1,1.5405405405405403
394,1,1,1,1,1,1,1,0.0
395,1,1,2,1,1,1,1,2.9999999999999996
396,1,1,2,1,1,2,2,2.6981132075471694
397,3,4,4,4,2,4,5,3.905263157894737
398,9,10,10,9,8,9,9,13.246376811594205
399,2,2,3,3,3,3,2,4.849056603773584
400,3,3,3,5,5,5,7,2.9337748344370858
401,9,9,9,9,9,9,7,11.460526315789474
402,1,1,1,1,2,1,2,2.63265306122449
403,1,1,1,1,1,1,1,0.0
404,1,1,2,1,2,1,3,1.9873417721518987
405,10,10,9,9,9,9,8,13.246376811594205
406,1,2,3,2,2,3,2,3.1014492753623193
407,1,2,3,2,3,2,4,2.479591836734694
408,2,3,1,3,2,2,1,2.4390243902439024
409,1,2,3,1,2,1,2,2.25
410,10,9,7,10,6,7,7,4.9079754601226995
411,1,1,1,1,1,2,1,2.9999999999999996
412,2,3,5,2,3,3,5,2.632
413,6,6,4,4,5,7,4,4.24793388429752
414,4,1,2,2,2,4,5,1.9589041095890412
415,7,3,3,4,4,3,6,2.68125
416,1,1,1,2,1,1,1,2.9999999999999996
417,8,4,6,6,9,4,8,3.2311557788944723
418,2,3,2,2,5,4,2,2.3636363636363638
419,10,10,10,10,10,10,10,0.0
420,6,4,7,7,8,5,4,3.732484076433121
421,8,2,2,3,2,2,2,1.3392857142857142
422,5,10,4,5,3,5,5,2.3936651583710407
423,1,1,1,1,2,1,2,2.63265306122449
424,2,1,2,7,2,2,6,1.341880341880342
425,1,2,2,1,3,3,1,2.066666666666667
426,6,8,6,5,7,5,4,4.340740740740741
427,3,1,4,3,3,3,5,2.59504132231405
428,1,2,2,2,4,1,3,2.0
429,2,3,2,3,3,3,2,4.849056603773584
430,2,3,5,10,7,4,6,1.966542750929368
431,2,1,2,1,2,2,2,3.489795918367347
432,10,10,10,10,10,8,9,12.113924050632912
433,1,1,1,2,2,2,2,2.9622641509433962
434,10,8,9,10,7,8,6,5.526666666666666
435,1,1,2,1,2,3,3,2.066666666666667
436,5,2,3,4,4,4,1,2.384057971014493
437,3,4,3,4,3,3,3,6.714285714285714
438,3,1,1,1,1,2,1,1.810126582278481
439,2,2,1,2,2,1,1,2.9622641509433962
440,9,8,10,9,9,9,8,12.840579710144928
441,4,7,6,6,5,5,4,4.7657657657657655
442,5,5,4,7,5,3,1,2.2698412698412698
443,3,1,1,2,1,5,2,1.4657534246575343
444,4,3,2,1,5,2,2,1.963768115942029
445,2,1,1,1,1,1,2,2.63265306122449
446,4,3,3,4,6,3,4,3.6074766355140184
447,10,10,5,5,6,5,4,2.5617529880478087
448,5,1,3,3,4,4,2,2.325925925925926
449,6,8,6,6,6,7,5,6.621052631578948
450,1,1,1,1,2,1,1,2.9999999999999996
451,5,5,5,3,4,3,1,2.473333333333333
452,1,1,1,1,1,1,1,0.0
453,7,8,8,7,8,7,6,9.592105263157894
454,3,4,2,4,4,3,4,4.341772151898734
455,10,8,7,9,10,7,8,6.637795275590551
456,2,2,1,1,3,1,2,2.25
457,2,2,1,2,3,3,2,3.1014492753623193
458,4,4,4,7,6,3,5,3.4130434782608696
459,4,4,8,5,4,6,5,3.5205479452054793
460,1,1,1,1,1,1,1,0.0
461,3,4,7,5,5,7,4,3.2679738562091503
462,2,2,2,3,2,2,2,5.631578947368421
463,5,2,3,3,10,4,7,1.7419354838709677
464,9,7,9,10,10,9,8,8.2803738317757
465,4,1,1,1,1,1,1,1.2654867256637168
466,9,10,10,9,9,9,8,13.246376811594205
467,6,8,8,6,7,8,6,7.0
468,1,1,2,1,2,1,1,2.63265306122449
469,2,4,4,5,5,5,4,3.869158878504672
470,7,7,7,6,7,5,6,8.139240506329113
471,2,1,1,1,1,1,1,2.9999999999999996
472,1,1,1,1,1,1,1,0.0
473,9,5,9,10,8,9,7,4.845238095238096
474,1,1,2,1,1,1,1,2.9999999999999996
475,2,2,1,2,2,2,2,4.894736842105264
476,10,9,9,7,9,8,6,6.007246376811594
477,9,8,10,10,7,10,10,7.553719008264464
478,2,3,3,3,5,3,2,3.0
479,1,1,1,1,1,1,1,0.0
480,1,1,1,1,1,1,2,2.9999999999999996
481,9,7,7,8,8,6,6,6.567567567567567
482,7,7,6,6,8,7,7,9.942028985507248
483,1,2,3,1,2,2,2,2.695652173913044
484,5,4,5,4,4,3,4,6.0
485,6,5,5,5,9,8,6,3.93125
486,2,1,1,2,2,5,2,1.5851851851851853
487,7,7,8,5,6,6,7,6.704081632653062
488,3,2,4,3,5,3,3,3.463157894736842
489,8,10,10,10,10,9,10,12.113924050632912
490,4,8,3,7,5,3,6,2.635897435897436
491,7,7,7,8,6,6,7,9.942028985507248
492,6,10,5,9,6,7,6,3.8251366120218577
493,8,10,10,10,8,9,9,10.155555555555557
494,5,5,5,7,4,5,5,5.71111111111111
495,2,1,2,1,1,1,1,2.63265306122449
496,1,2,2,2,1,2,3,2.695652173913044
497,2,2,2,1,1,1,1,2.6981132075471694
498,1,1,1,2,1,1,2,2.63265306122449
499,1,1,1,1,1,1,1,0.0
500,3,3,9,4,1,5,4,1.6693548387096773
501,3,2,3,3,4,4,3,4.55072463768116
502,1,1,1,1,1,2,1,2.9999999999999996
503,3,3,1,3,3,3,3,3.5657894736842106
504,1,1,2,2,2,3,2,2.695652173913044
505,9,8,8,8,9,8,9,15.905660377358489
506,9,10,9,10,8,9,9,13.246376811594205
507,3,2,4,1,4,3,1,2.0236220472440944
508,6,7,7,6,7,7,2,3.278688524590164
509,2,1,3,1,2,1,2,2.25
510,8,7,8,9,7,9,9,9.044444444444444
511,4,3,6,1,2,2,2,1.7023809523809523
512,1,1,1,2,2,2,1,2.6981132075471694
513,10,6,10,2,2,3,2,1.3513513513513513
514,1,1,2,2,3,3,3,2.3777777777777778
515,1,1,1,1,1,1,1,0.0
516,8,4,4,3,2,3,6,2.0825242718446604
517,5,5,5,9,5,5,5,3.6887417218543046
518,5,4,5,6,4,6,7,4.7657657657657655
519,2,4,3,3,3,3,4,4.55072463768116
520,1,1,2,3,6,3,1,1.3425414364640884
521,10,4,9,8,10,9,9,4.072463768115942
522,10,10,10,10,10,10,10,0.0
523,1,1,1,2,1,1,1,2.9999999999999996
524,7,5,6,4,8,5,7,4.25531914893617
525,9,3,2,3,5,2,4,1.6326530612244896
526,2,2,1,2,2,1,2,3.489795918367347
527,7,9,7,8,8,8,8,11.391304347826088
528,6,6,4,4,6,7,3,3.5205479452054793
529,1,1,1,1,2,1,1,2.9999999999999996
530,9,10,9,10,10,10,9,18.056603773584904
531,9,9,9,9,8,9,8,17.775510204081634
532,4,3,1,1,2,3,2,2.063063063063063
533,3,2,4,3,4,4,3,4.328947368421052
534,8,4,8,7,8,9,6,4.25
535,7,7,5,5,6,6,4,5.144144144144144
536,10,6,4,4,8,5,8,2.7956521739130435
537,4,4,6,4,5,4,6,4.957894736842105
538,1,1,2,2,2,1,3,2.25
539,2,3,2,3,4,4,1,2.4414414414414414
540,1,1,2,3,1,1,1,1.810126582278481
541,1,1,1,1,1,1,1,0.0
542,2,5,2,4,1,3,3,2.1185185185185182
543,2,2,4,2,2,3,3,3.253164556962025
544,9,9,4,4,1,3,1,1.318452380952381
545,8,6,7,6,5,7,5,5.666666666666666
546,6,3,4,5,7,6,5,3.807407407407407
547,4,2,2,1,2,3,5,1.963768115942029
548,2,1,1,1,1,1,2,2.63265306122449
549,5,5,7,4,4,4,4,4.243243243243243
550,5,4,7,5,6,7,8,4.25531914893617
551,6,5,8,6,6,7,8,5.814159292035399
552,7,4,10,5,7,4,8,2.883408071748879
553,1,1,1,1,2,2,3,1.9873417721518987
554,1,1,1,2,1,1,1,2.9999999999999996
555,2,2,2,3,2,1,1,2.695652173913044
556,1,1,1,1,1,1,1,0.0
557,5,5,4,7,4,5,5,5.0
558,2,1,2,1,1,3,2,2.25
559,1,1,1,2,2,1,2,2.6981132075471694
560,1,1,4,4,3,1,1,1.4657534246575343
561,1,2,2,4,1,3,4,1.9133858267716537
562,10,10,10,10,9,9,9,18.056603773584904
563,6,3,3,2,4,3,4,2.811023622047244
564,9,9,8,9,9,9,10,15.517241379310345
565,1,3,1,2,1,4,2,1.7391304347826089
566,4,6,3,3,1,1,2,1.615819209039548
567,9,4,2,4,2,2,2,1.3891050583657587
568,2,1,4,3,2,7,3,1.6102564102564103
569,5,4,4,3,2,3,4,3.642857142857143
570,3,2,1,2,2,1,1,2.25
571,2,3,2,3,2,3,1,3.013157894736842
572,1,1,1,1,1,2,1,2.9999999999999996
573,10,10,10,10,10,10,10,0.0
574,6,8,6,5,5,6,7,5.738317757009345
575,8,9,9,9,9,7,8,10.670886075949367
576,8,3,8,9,6,9,9,3.3318385650224216
577,9,9,10,9,10,10,10,18.056603773584904
578,2,3,5,3,3,4,5,3.1592920353982303
579,1,1,1,1,1,1,1,0.0
580,1,1,1,2,2,3,1,1.9873417721518987
581,3,1,1,1,2,3,1,1.8
582,1,1,1,1,1,2,3,1.810126582278481
583,2,3,3,5,4,6,4,2.859259259259259
