고객번호,분류코드,구매횟수,총구매액
186,2,184,45553904
186,3,3,5888007
186,4,34,870593
187,1,490,6471067
187,2,128,12990276
187,3,2,761196
187,4,11,146851
188,1,3166,14644727
188,2,20,827317
188,4,2,34303
189,1,1083,21654631
189,2,211,75246137
189,3,30,3422010
189,4,68,998494
190,1,1005,14992464
190,2,168,29626811
190,3,4,3459608
190,4,34,782310
191,1,117,5744499
191,2,358,73500915
191,3,24,8158661
191,4,9,865449
192,1,952,13190668
192,2,114,7368553
192,3,18,19399995
192,4,87,1289595
193,1,1316,8597039
193,2,60,1316874
193,4,67,526961
194,1,1858,9966385
194,2,178,5074588
194,3,2,53311
194,4,28,181531
195,1,669,4519740
195,2,119,2454514
195,4,41,209920
196,1,1195,11107436
196,2,245,19314777
196,3,1,75487
196,4,42,659073
197,1,882,7672558
197,2,386,90853411
197,3,2,212857
197,4,7,284340
198,1,1152,5980177
198,2,161,7474443
198,3,7,424056
198,4,52,589659
199,1,926,11117570
199,2,69,6541364
199,3,1,217543
199,4,12,862067
200,1,1068,5867239
200,2,42,6783741
201,1,607,31894079
201,2,300,84189237
201,3,5,4987032
201,4,27,1422239
202,1,1402,10609000
202,2,392,79295084
202,3,16,9353494
202,4,22,1035704
203,1,971,5160651
203,2,99,1429213
203,4,49,299653
204,1,1457,8624059
204,2,293,14955071
204,3,1,67789
204,4,47,597206
205,1,1442,11342135
205,2,73,13246883
205,4,64,466630
206,1,1947,11768603
206,2,102,4131874
206,3,4,130327
206,4,15,458476
207,1,1201,7441660
207,2,29,548957
207,4,8,138351
208,1,149,1818383
208,2,267,45521991
208,3,14,21419266
208,4,14,1952029
209,1,413,3117918
209,2,155,12947218
209,3,3,922449
209,4,102,1174443
210,1,1068,5215902
210,2,45,973570
210,4,7,42809
211,1,498,6727959
211,2,56,8285048
211,3,13,6069928
211,4,79,779189
212,1,1793,15694831
212,2,27,3313060
212,3,4,1766185
212,4,1,5362
213,1,4134,24056836
213,2,148,23121297
213,4,44,661446
214,1,1079,9879262
214,2,107,10551011
214,3,1,433775
214,4,22,221205
215,1,1630,9324680
215,2,197,4565178
215,3,3,97332
215,4,62,476037
216,1,1246,7779757
216,2,58,3090766
216,4,102,954421
217,1,540,10023789
217,2,76,3733943
217,4,16,330331
218,1,372,11014686
218,2,410,141760649
218,3,77,57984466
218,4,47,1067146
219,1,912,9427904
219,2,202,37160349
219,3,2,523744
219,4,158,3029856
220,1,2256,16171378
220,2,97,3100433
220,4,10,218877
221,1,1176,7249189
221,2,95,3024344
221,3,2,8262
221,4,33,414413
222,1,828,10163638
222,2,304,59558155
222,3,11,7103240
222,4,45,1011941
223,1,437,20796016
223,2,167,116357910
223,3,1,1041762
223,4,46,873980
224,1,148,2848251
224,2,302,149514509
224,3,11,19591500
224,4,82,3852416
225,1,308,12349894
225,2,514,152448054
225,3,4,938736
225,4,23,642244
226,1,852,7948613
226,2,30,2214428
226,4,55,1093335
227,1,1600,5763477
227,2,5,113886
227,4,2,75839
228,1,1671,11278468
228,2,62,1415913
228,4,8,145072
229,1,841,13847907
229,2,154,56276918
229,3,14,4377017
229,4,10,578804
230,1,738,7306106
230,2,79,6121383
230,3,1,123660
230,4,50,920083
231,1,1713,7940812
231,2,26,2828491
231,4,5,26487
232,1,2153,8827260
232,2,46,1196479
232,4,2,42659
233,1,1408,9857182
233,2,28,6527850
233,3,2,4075783
233,4,21,1007273
234,1,857,9303442
234,2,97,23205705
234,4,98,1849856
235,1,1013,23359488
235,2,122,18288314
235,3,4,810392
235,4,17,439811
236,1,1732,8040728
236,2,10,707926
236,4,1,4131
237,1,1045,21508975
237,2,198,35108019
237,3,15,5355927
237,4,107,3894398
238,1,772,9070333
238,2,44,7361012
238,3,1,124689
238,4,2,11319
239,1,479,12311722
239,2,295,140693859
239,3,27,4292492
239,4,41,393508
240,1,485,3181150
240,2,199,12841125
240,3,6,4120273
240,4,53,576573
241,1,551,6268495
241,2,317,62535626
241,3,1,546894
241,4,18,626553
242,1,1056,5895214
242,2,194,3695650
242,3,2,87405
242,4,19,237204
243,1,985,6080913
243,2,57,1462149
243,4,21,174074
244,1,758,18698869
244,2,182,16882247
244,3,7,3521149
244,4,24,854837
245,1,2562,20056005
245,2,73,6932828
245,4,6,73731
246,1,408,10995119
246,2,221,45094975
246,3,4,15567694
246,4,92,2774242
247,1,1936,15068466
247,2,71,6414564
247,4,219,2853908
248,1,1589,12092466
248,2,182,21571656
248,4,43,954292
249,1,433,8000274
249,2,218,101578419
249,3,18,31083351
249,4,45,958892
250,1,548,14655064
250,2,359,98290978
250,3,12,13450581
250,4,39,870349
251,1,518,13250897
251,2,277,40037093
251,3,8,512146
251,4,18,338798
252,1,558,3381740
252,2,80,7569645
252,4,33,513921
253,1,247,7305184
253,2,269,65087046
253,3,5,1037733
253,4,48,4212980
254,1,654,8138868
254,2,193,35983832
254,3,63,86522768
254,4,11,314718
255,1,573,24289764
255,2,250,64468227
255,3,68,32808897
255,4,102,3245377
256,1,968,23528882
256,2,305,152989006
256,3,47,49758733
256,4,22,1262897
257,1,2646,11125079
257,2,99,3010518
257,3,1,190035
257,4,91,1705959
258,1,457,4597502
258,2,291,228048205
258,3,59,151208983
258,4,56,736557
259,1,3106,16512577
259,2,91,19283326
259,3,1,73992
259,4,26,122186
260,1,1394,11230714
260,2,32,1350080
260,4,15,325409
261,1,446,7780568
261,2,156,19301896
261,3,5,2613363
261,4,45,998691
262,1,1508,20926809
262,2,168,16659351
262,4,4,116370
263,1,1156,6108107
263,2,36,781253
263,4,11,96540
264,1,2208,8813977
264,2,22,2883410
264,4,8,71363
265,1,84,1837650
265,2,526,183797080
265,3,18,13805280
265,4,47,1812304
266,1,567,10194193
266,2,166,31834532
266,3,3,940645
266,4,13,756661
267,1,228,5995285
267,2,240,40780966
267,3,7,1528529
267,4,72,859550
268,1,1397,15366185
268,2,235,22661104
268,3,18,14398978
268,4,66,1003474
269,1,4722,43425843
269,2,131,30546998
269,3,5,1155536
269,4,1,39864
270,1,1384,7556574
270,2,66,1425086
270,4,25,109166
271,1,517,11071790
271,2,171,53733152
271,3,3,11041359
271,4,22,475772
272,1,1567,14681539
272,2,133,12970626
272,3,4,1721519
272,4,81,2149232
273,1,593,14360549
273,2,425,49445732
273,3,28,7052710
273,4,91,1921987
274,1,1273,5433777
274,2,29,375953
274,4,47,256571
275,1,2435,35192147
275,2,173,18739404
275,3,8,2060831
275,4,81,1096532
276,1,3042,9091508
276,2,14,1444738
276,4,3,866369
277,1,1210,6221459
277,2,167,10799641
277,3,2,1567587
277,4,49,868677
278,1,1929,5034866
278,2,13,402622
278,4,3,26890
279,1,525,11609869
279,2,136,13540658
279,3,21,26422844
279,4,105,3696275
280,1,392,8464318
280,2,208,53191222
280,3,5,2271821
280,4,255,4383964
281,1,1236,34951100
281,2,158,38035230
281,3,5,18513062
281,4,81,2070714
282,1,466,5138159
282,2,323,36164015
282,3,17,7587137
282,4,40,1179758
283,1,496,8005910
283,2,195,127772938
283,3,13,5294205
283,4,13,268309
284,1,203,1074282
284,2,352,1743362
284,3,1,61968
284,4,3,13778
285,1,721,3507666
285,2,94,2035990
285,4,35,388366
286,1,916,15734651
286,2,67,14519363
286,3,1,616328
286,4,31,720887
287,1,820,4359742
287,2,68,2732508
287,4,61,2176024
288,1,2114,23539050
288,2,51,4990585
288,3,2,1176874
288,4,179,6719070
289,1,731,9900343
289,2,80,6049993
289,4,113,2093974
290,1,1626,9778634
290,2,89,2011128
290,3,2,16524
290,4,70,707567
291,1,2037,11315864
291,2,40,1142243
291,4,12,66756
292,1,1070,19993593
292,2,358,60997550
292,3,12,2895236
292,4,14,310565
293,1,1069,10109080
293,2,115,13696970
293,3,1,371807
293,4,34,371806
294,1,159,3018802
294,2,283,47695585
294,3,12,9604742
294,4,36,2072311
295,1,248,5843908
295,2,167,23843228
295,3,12,3411408
295,4,68,1716354
296,1,1608,23717019
296,2,340,52614180
296,3,3,302807
296,4,7,2158881
297,1,735,12309325
297,2,202,50279235
297,3,1,23548
297,4,22,642389
298,1,986,33567966
298,2,208,68231994
298,3,21,40965877
298,4,63,3215922
299,1,647,9846955
299,2,118,9742123
299,3,2,1357996
299,4,17,121414
300,1,1776,15846757
300,2,212,7139661
300,4,76,1101953
301,1,477,5622089
301,2,107,24543091
301,3,14,7097014
301,4,75,2394105
302,1,851,8892396
302,2,251,27996833
302,3,2,363523
302,4,72,724369
303,1,2267,12056282
303,2,61,15940030
303,4,77,1091294
304,1,309,6761581
304,2,118,129631418
304,3,10,7858529
304,4,28,629051
305,1,1087,12347756
305,2,617,101535600
305,3,21,11663289
305,4,21,2218912
306,1,479,20799699
306,2,375,40299667
306,3,1,208634
306,4,25,588606
307,1,642,15803629
307,2,199,28575275
307,3,10,10279572
307,4,106,2649465
308,1,771,10152702
308,2,142,11342199
308,3,4,3278672
308,4,5,170862
309,1,582,23894744
309,2,128,60732065
309,3,3,168360
309,4,27,1691617
310,1,1382,9983815
310,2,105,11121573
310,4,13,203694
311,1,783,11114951
311,2,247,27312336
311,3,34,2156856
311,4,4,222614
312,1,1349,14400633
312,2,14,356727
312,4,4,841453
313,1,1406,13794367
313,2,215,50339714
313,3,2,173626
313,4,103,8565424
314,1,752,19811646
314,2,276,99827428
314,3,18,5265319
314,4,49,1480059
315,1,1182,21627264
315,2,386,165721154
315,3,17,40268258
315,4,48,1892354
316,1,1025,16122880
316,2,180,107448631
316,3,3,1308394
316,4,150,3416300
317,1,1376,10246652
317,2,118,21431233
317,3,2,2613909
317,4,29,603111
318,1,619,17036253
318,2,115,9294101
318,3,2,440473
318,4,27,391659
319,1,278,3891769
319,2,229,48796944
319,3,6,1855102
319,4,60,2187595
320,1,710,7216006
320,2,252,12794523
320,3,2,143033
320,4,115,1683281
321,1,1375,18274404
321,2,264,53742386
321,3,5,4770920
321,4,87,2339994
322,1,1754,23349184
322,2,73,4088603
322,4,14,369331
323,1,924,10127850
323,2,381,53668991
323,3,20,14362648
323,4,23,423219
324,1,1069,12927675
324,2,419,67705270
324,3,9,8501085
324,4,65,1385475
325,1,610,8792810
325,2,97,18087721
325,3,31,13735312
325,4,26,335195
326,1,892,7765685
326,2,262,33518958
326,3,7,950958
326,4,127,2507232
327,1,244,7920060
327,2,315,48919949
327,3,9,22087775
327,4,35,1193767
328,1,48,1274232
328,2,405,45715149
328,3,3,2340483
328,4,37,1722889
329,1,1335,14344611
329,2,129,39308258
329,3,7,9163769
329,4,71,968224
330,1,1507,8014292
330,2,28,240761
330,3,1,29329
330,4,20,159253
331,1,1239,8257168
331,2,59,2525625
331,3,1,66448
331,4,31,216606
332,1,1418,14325767
332,2,316,27662167
332,3,14,3398047
332,4,37,1040154
333,1,2746,22029917
333,2,131,11636428
333,3,2,41119
333,4,75,621321
334,1,298,3804940
334,2,279,31606995
334,3,1,320898
334,4,22,203508
335,1,497,5648682
335,2,488,90614585
335,3,27,13541905
335,4,46,999031
336,1,962,7033150
336,2,113,7187564
336,4,7,292584
337,1,693,12012196
337,2,454,151199666
337,3,3,914288
337,4,10,283027
338,1,1266,10424543
338,2,95,5078680
338,4,43,754602
339,1,2502,19597121
339,2,102,8387157
339,4,14,843171
340,1,239,4646175
340,2,161,31265425
340,3,2,200823
340,4,74,934948
341,1,300,40452275
341,2,206,64004990
341,3,25,13000715
341,4,118,2216361
342,1,1583,10338815
342,2,21,303785
342,4,28,129182
343,1,736,9761703
343,2,121,32044429
343,3,8,5822034
343,4,68,1181127
344,1,850,11545334
344,2,114,17977539
344,3,1,211533
344,4,7,223089
345,1,313,7697711
345,2,180,61151886
345,3,5,5771441
345,4,67,1822620
346,1,601,6449228
346,2,46,3776951
346,3,2,101359
346,4,42,912955
347,1,1089,6599731
347,2,355,10999864
347,3,3,280277
347,4,15,205352
348,1,2208,12675067
348,2,9,414655
348,4,4,31682
349,1,1229,53251118
349,2,245,17718394
349,3,7,1584260
349,4,178,4270490
350,1,1208,8754771
350,2,64,5601107
350,3,2,272998
350,4,176,1428067
351,1,823,15363466
351,2,201,27310874
351,3,2,238798
351,4,42,1122373
352,1,344,4935339
352,2,300,135808423
352,3,50,42826443
352,4,25,228438
353,1,1157,10401694
353,2,34,1276040
353,4,35,412770
354,1,1213,9273244
354,2,37,1903327
354,4,14,78500
355,1,684,3512125
355,2,227,63597840
355,3,12,6888560
355,4,87,2059391
356,1,201,2523267
356,2,334,46016009
356,3,1,21018
356,4,112,2854464
357,1,1376,8025972
357,2,59,2978460
357,4,5,223973
358,1,245,5263407
358,2,319,59607639
358,3,9,1323106
358,4,25,557615
359,1,1580,13221172
359,2,130,18124475
359,3,1,382162
359,4,94,1045755
360,1,2400,17032296
360,2,186,10600576
360,3,4,904476
360,4,46,1364589
361,1,889,7225938
361,2,280,55808692
361,3,57,32390059
361,4,48,2593750
362,1,1476,10291433
362,2,105,7222775
362,3,2,49574
362,4,9,150980
363,1,530,9766132
363,2,365,170441599
363,3,25,10263997
363,4,20,854383
364,1,1125,7943836
364,2,124,7787900
364,3,3,288425
364,4,33,896114
365,1,1336,21230642
365,2,370,77342437
365,3,10,1825989
365,4,50,1519362
366,1,693,6082278
366,2,20,1044380
366,4,22,1020876
367,1,1928,19316880
367,2,199,64177988
367,3,32,24154685
367,4,17,271780
368,1,1331,10027317
368,2,287,38285920
368,3,7,10455387
368,4,111,2075923
369,1,169,7424124
369,2,411,48594057
369,3,4,129646
369,4,14,1581590
370,1,1567,8980742
370,2,79,2763517
370,4,18,239733
371,1,1341,10996951
371,2,122,4941748
371,4,75,609084
372,1,1644,10136576
372,2,31,1102741
372,4,34,244644
373,1,859,18152812
373,2,162,25141095
373,3,39,48839543
373,4,45,923339
374,1,376,14040364
374,2,235,29229686
374,3,10,7180076
374,4,93,1771452
375,1,411,5422250
375,2,300,156348217
375,3,3,808607
375,4,79,2401758
376,1,1346,4788017
376,2,1,40486
376,4,20,106314
377,1,585,9360839
377,2,337,65202229
377,3,10,5890906
377,4,141,2382712
378,1,694,14419726
378,2,253,46017156
378,3,17,8915599
378,4,37,1569164
379,1,373,4202884
379,2,193,17699352
379,3,5,2937514
379,4,37,1399896
380,1,1426,5651674
380,2,18,1160419
380,3,2,66545
380,4,1,4434
381,1,472,7717722
381,2,120,17787439
381,3,6,1944175
381,4,20,182676
382,1,564,6438689
382,2,114,45961852
382,3,18,21257430
382,4,62,1241062
383,1,252,8452245
