고객번호,분기,구매횟수,총구매액
00019,14_3,50,2733392
00019,14_4,84,6097284
00019,15_1,64,3172404
00019,15_2,71,8495752
00019,15_3,71,7152079
00019,15_4,67,4491636
00020,14_1,155,3265439
00020,14_2,142,3180536
00020,14_3,156,2759604
00020,14_4,146,1619750
00020,15_1,153,3795574
00020,15_2,98,3079760
00020,15_3,92,2705978
00020,15_4,105,2495132
00021,14_1,212,2302273
00021,14_2,215,2298576
00021,14_3,314,3429589
00021,14_4,264,2109593
00021,15_1,198,3198865
00021,15_2,342,4314415
00021,15_3,338,3227937
00021,15_4,311,2215772
00022,14_1,69,11493431
00022,14_2,59,32721607
00022,14_3,30,12579590
00022,14_4,71,25885960
00022,15_1,82,30279723
00022,15_2,72,8106358
00022,15_3,30,2899761
00022,15_4,82,18051387
00023,14_1,116,6192221
00023,14_2,100,8251785
00023,14_3,115,8118411
00023,14_4,186,22303941
00023,15_1,118,8538963
00023,15_2,61,7529418
00023,15_3,51,9639413
00023,15_4,36,6578390
00024,14_1,101,1087014
00024,14_2,108,1837434
00024,14_3,98,2183341
00024,14_4,137,1517246
00024,15_1,90,1294120
00024,15_2,91,1084063
00024,15_3,113,1804030
00024,15_4,80,1368480
00025,14_1,47,1154580
00025,14_2,64,3051147
00025,14_3,67,3127931
00025,14_4,50,1845978
00025,15_1,116,11749491
00025,15_2,95,8183916
00025,15_3,57,2824594
00025,15_4,130,13307091
00026,14_1,154,13740891
00026,14_2,109,17737282
00026,14_3,105,9301810
00026,14_4,88,38043936
00026,15_1,84,17322105
00026,15_2,211,8233349
00026,15_3,142,8618156
00026,15_4,121,10294751
00027,14_1,71,13917292
00027,14_2,106,6647278
00027,14_3,67,5079177
00027,14_4,66,3025131
00027,15_1,68,7979092
00027,15_2,79,6177636
00027,15_3,122,16520085
00027,15_4,69,2676563
00028,14_1,165,725858
00028,14_2,267,1360294
00028,14_3,161,727736
00028,14_4,198,1045876
00028,15_1,96,719367
00028,15_2,206,1423737
00028,15_3,183,2146022
00028,15_4,112,703179
00029,14_1,80,9903572
00029,14_2,96,15992527
00029,14_3,126,9838277
00029,14_4,103,8447004
00029,15_1,139,10089021
00029,15_2,139,11125705
00029,15_3,117,9700721
00029,15_4,126,10886317
00030,14_1,235,8080946
00030,14_2,336,12676100
00030,14_3,318,13713196
00030,14_4,316,15783727
00030,15_1,241,10455320
00030,15_2,274,18052459
00030,15_3,321,13829879
00030,15_4,275,13393758
00031,14_1,100,1203752
00031,14_2,112,1325301
00031,14_3,101,2031523
00031,14_4,127,2193655
00031,15_1,120,1795593
00031,15_2,140,1555353
00031,15_3,156,1973146
00031,15_4,139,1478313
00032,14_1,129,1298487
00032,14_2,179,2541243
00032,14_3,206,3355238
00032,14_4,196,2114220
00032,15_1,197,2234280
00032,15_2,169,2491622
00032,15_3,198,2912050
00032,15_4,209,2714762
00033,14_1,276,1424455
00033,14_2,305,1510802
00033,14_3,286,1314383
00033,14_4,238,926045
00033,15_1,302,1281499
00033,15_2,330,1336144
00033,15_3,378,1783250
00033,15_4,289,1094591
00034,14_1,136,1620119
00034,14_2,199,3418494
00034,14_3,140,1675306
00034,14_4,172,2370261
00034,15_1,127,1573266
00034,15_2,91,2208345
00034,15_3,53,1583825
00034,15_4,30,810836
00035,14_1,115,3823627
00035,14_2,133,5317635
00035,14_3,88,8557963
00035,14_4,90,2814801
00035,15_1,90,5763033
00035,15_2,205,7017696
00035,15_3,144,6177542
00035,15_4,129,5929630
00036,14_1,71,4485008
00036,14_2,170,9249829
00036,14_3,131,5630078
00036,14_4,87,5492854
00036,15_1,80,1797514
00036,15_2,112,9003347
00036,15_3,158,6265667
00036,15_4,151,2526877
00037,14_1,59,1908831
00037,14_2,136,3399036
00037,14_3,146,8876902
00037,14_4,198,15414180
00037,15_1,145,6855695
00037,15_2,115,10699939
00037,15_3,157,6741618
00037,15_4,201,6244540
00038,14_1,266,2363203
00038,14_2,291,2390852
00038,14_3,368,3535191
00038,14_4,371,2550901
00038,15_1,357,2904403
00038,15_2,334,2812577
00038,15_3,355,3923796
00038,15_4,338,3246174
00039,14_1,42,69258984
00039,14_2,94,45340255
00039,14_3,55,7627232
00039,14_4,84,15962640
00039,15_1,78,5817845
00039,15_2,97,32040276
00039,15_3,61,16538905
00039,15_4,63,15078151
00040,14_1,121,2282389
00040,14_2,132,4356747
00040,14_3,84,2185676
00040,14_4,99,1879477
00040,15_1,128,4425003
00040,15_2,93,2938983
00040,15_3,102,6227766
00040,15_4,99,2489902
00041,14_1,67,1912322
00041,14_2,81,3110153
00041,14_3,65,1455532
00041,14_4,72,2537715
00041,15_1,110,3099863
00041,15_2,101,2009021
00041,15_3,144,2076099
00041,15_4,75,2287682
00042,14_1,148,1455196
00042,14_2,247,2086229
00042,14_3,273,1904579
00042,14_4,237,1204730
00042,15_1,308,2351548
00042,15_2,358,2207970
00042,15_3,330,2304839
00042,15_4,296,2453520
00043,14_1,146,1006278
00043,14_2,104,789005
00043,14_3,73,425623
00043,14_4,110,2013034
00043,15_1,131,570534
00043,15_2,209,941764
00043,15_3,206,1009743
00043,15_4,130,627135
00044,14_1,67,4872710
00044,14_2,108,2968041
00044,14_3,224,4677308
00044,14_4,118,44939845
00044,15_1,107,6963328
00044,15_2,125,3161017
00044,15_3,119,9252627
00044,15_4,126,24616175
00045,14_1,67,25746411
00045,14_2,80,1731310
00045,14_3,77,16369781
00045,14_4,128,41659856
00045,15_1,98,28131373
00045,15_2,124,53110941
00045,15_3,77,21246692
00045,15_4,98,36783605
00046,14_1,63,22389376
00046,14_2,69,14758346
00046,14_3,63,3177503
00046,14_4,81,7586648
00046,15_1,78,40297645
00046,15_2,107,9489430
00046,15_3,93,11353355
00046,15_4,126,22274608
00047,14_1,279,3326024
00047,14_2,357,3833482
00047,14_3,208,5885036
00047,14_4,174,1674030
00047,15_1,238,2180169
00047,15_2,180,1792588
00047,15_3,101,1278445
00047,15_4,176,1344148
00048,14_1,87,6550727
00048,14_2,78,9332692
00048,14_3,83,17674958
00048,14_4,81,6728159
00048,15_1,84,14255065
00048,15_2,88,11881740
00048,15_3,111,9403331
00048,15_4,55,8841709
00049,14_1,86,8760380
00049,14_2,102,12069962
00049,14_3,88,11290018
00049,14_4,69,4285679
00049,15_1,90,13810360
00049,15_2,85,9154700
00049,15_3,88,26201659
00049,15_4,74,8702215
00050,14_1,207,3203977
00050,14_2,246,4309237
00050,14_3,188,3644637
00050,14_4,201,2988744
00050,15_1,232,2791365
00050,15_2,211,2846997
00050,15_3,263,3033434
00050,15_4,217,2533118
00051,14_1,385,4203912
00051,14_2,273,3091768
00051,14_3,254,2504964
00051,14_4,216,4222356
00051,15_1,223,2298258
00051,15_2,144,1917649
00051,15_3,165,1560200
00051,15_4,153,2067404
00052,14_1,115,6913551
00052,14_2,137,4911381
00052,14_3,165,3795413
00052,14_4,167,4149603
00052,15_1,207,4588017
00052,15_2,188,6676653
00052,15_3,146,4045229
00052,15_4,126,2306134
00053,14_1,67,3130401
00053,14_2,84,15479526
00053,14_3,134,2703200
00053,14_4,99,15276011
00053,15_1,94,4299726
00053,15_2,85,5244168
00053,15_3,86,2462455
00053,15_4,105,2804171
00054,14_1,83,1372529
00054,14_2,92,1802540
00054,14_3,93,1446727
00054,14_4,91,1354145
00054,15_1,68,1054381
00054,15_2,95,1232229
00054,15_3,109,1063198
00054,15_4,119,1295910
00055,14_1,145,943039
00055,14_2,89,728291
00055,14_3,124,1487118
00055,14_4,119,1035734
00055,15_1,133,1049723
00055,15_2,129,826613
00055,15_3,137,1225796
00055,15_4,79,459748
00056,14_1,100,14993865
00056,14_2,93,13467391
00056,14_3,61,3029787
00056,14_4,112,8353360
00056,15_1,91,22568020
00056,15_2,118,14873118
00056,15_3,83,4443465
00056,15_4,108,9948244
00057,14_1,259,1202691
00057,14_2,284,1434043
00057,14_3,244,1135922
00057,14_4,243,1065292
00057,15_1,153,2298226
00057,15_2,197,761583
00057,15_3,332,1373521
00057,15_4,285,1079707
00058,14_1,73,3187217
00058,14_2,72,2960239
00058,14_3,74,2890948
00058,14_4,78,4346362
00058,15_1,89,2941767
00058,15_2,90,2755733
00058,15_3,63,2640724
00058,15_4,79,4237719
00059,14_1,95,3476846
00059,14_2,85,5043826
00059,14_3,121,3316925
00059,14_4,129,2823277
00059,15_1,111,2308309
00059,15_2,112,3886805
00059,15_3,95,3508908
00059,15_4,94,3053014
00060,14_1,112,2186343
00060,14_2,183,3989600
00060,14_3,185,2859350
00060,14_4,214,3772966
00060,15_1,163,2587701
00060,15_2,214,4391604
00060,15_3,224,5177222
00060,15_4,181,5259271
00061,14_1,289,5924555
00061,14_2,247,4557449
00061,14_3,137,2860210
00061,14_4,206,2455590
00061,15_1,200,2177234
00061,15_2,179,2485369
00061,15_3,279,3779998
00061,15_4,168,2714919
00062,14_1,100,1457862
00062,14_2,144,4369989
00062,14_3,123,3739416
00062,14_4,114,2576621
00062,15_1,152,2347174
00062,15_2,105,2368969
00062,15_3,105,2570541
00062,15_4,129,2010967
00063,14_1,64,439517
00063,14_2,93,891861
00063,14_3,74,736407
00063,14_4,63,721998
00063,15_1,67,887942
00063,15_2,91,934837
00063,15_3,80,1170259
00063,15_4,84,499185
00064,14_1,145,645981
00064,14_2,176,673773
00064,14_3,127,725140
00064,14_4,138,655109
00064,15_1,114,477377
00064,15_2,66,319797
00064,15_3,11,65168
00064,15_4,42,275062
00065,14_1,96,1852367
00065,14_2,95,1980246
00065,14_3,111,4498622
00065,14_4,85,928614
00065,15_1,172,4246876
00065,15_2,129,2893988
00065,15_3,60,1476484
00065,15_4,129,1909410
00066,14_1,264,2934626
00066,14_2,247,2078340
00066,14_3,262,2076387
00066,14_4,293,2170845
00066,15_1,282,2269400
00066,15_2,274,2555238
00066,15_3,285,2451020
00066,15_4,233,1860644
00067,14_1,145,905426
00067,14_2,169,1047484
00067,14_3,217,1433791
00067,14_4,217,1360711
00067,15_1,286,1475151
00067,15_2,303,1521728
00067,15_3,315,1787101
00067,15_4,326,1266853
00068,14_1,196,77350286
00068,14_2,243,57531741
00068,14_3,292,35066347
00068,14_4,191,27947713
00068,15_1,132,42967698
00068,15_2,156,16505028
00068,15_3,214,22069670
00068,15_4,166,23805259
00069,14_1,333,1511286
00069,14_2,445,1890219
00069,14_3,536,2505761
00069,14_4,497,1732413
00069,15_1,427,1773757
00069,15_2,507,2110859
00069,15_3,567,2614480
00069,15_4,554,1773726
00070,14_1,135,4620004
00070,14_2,153,2048410
00070,14_3,120,9633897
00070,14_4,120,3958784
00070,15_1,77,2809085
00070,15_2,11,2449226
00070,15_3,19,2550649
00070,15_4,13,4358900
00071,14_1,141,552558
00071,14_2,131,616053
00071,14_3,161,694576
00071,14_4,132,498235
00071,15_1,143,806894
00071,15_2,138,548529
00071,15_3,174,813086
00071,15_4,93,334755
00072,14_1,66,1004513
00072,14_2,79,702090
00072,14_3,139,1927000
00072,14_4,138,1071660
00072,15_1,129,1259886
00072,15_2,176,1223256
00072,15_3,155,1398609
00072,15_4,149,1297616
00073,14_1,98,28031750
00073,14_2,95,31558626
00073,14_3,106,42954888
00073,14_4,69,22962936
00073,15_1,79,39631036
00073,15_2,48,21762597
00073,15_3,75,29084432
00073,15_4,65,19720194
00074,14_1,95,4360723
00074,14_2,120,9524515
00074,14_3,127,7313012
00074,14_4,63,2951576
00074,15_1,115,3296733
00074,15_2,101,2041089
00074,15_3,63,1064003
00074,15_4,75,1984075
00075,14_1,106,536031
00075,14_2,99,751552
00075,14_3,126,827080
00075,14_4,146,686847
00075,15_1,101,591057
00075,15_2,89,561666
00075,15_3,119,678873
00075,15_4,141,553971
00076,14_1,120,1308156
00076,14_2,154,1600249
00076,14_3,77,1238278
00076,14_4,124,1876599
00076,15_1,90,980747
00076,15_2,124,2196773
00076,15_3,132,1469394
00076,15_4,102,1527457
00077,14_1,99,4094322
00077,14_2,111,5364226
00077,14_3,198,4535526
00077,14_4,141,3811102
00077,15_1,107,3877527
00077,15_2,152,4353417
00077,15_3,131,3815333
00077,15_4,153,6102736
00078,14_1,111,9507002
00078,14_2,70,6671611
00078,14_3,129,10668715
00078,14_4,126,8936930
00078,15_1,153,11968726
00078,15_2,173,23441931
00078,15_3,138,13015692
00078,15_4,129,9465482
00079,14_1,270,1898407
00079,14_2,193,1984915
00079,14_3,273,2543264
00079,14_4,273,2038628
00079,15_1,210,1399530
00079,15_2,312,2384687
00079,15_3,312,2650257
00079,15_4,189,1290234
00080,14_1,243,1002110
00080,14_2,129,827712
00080,14_3,227,1338687
00080,14_4,248,1329785
00080,15_1,177,1288696
00080,15_2,221,1828681
00080,15_3,221,1277424
00080,15_4,209,1869921
00081,14_1,89,9494436
00081,14_2,99,5506479
00081,14_3,75,9682315
00081,14_4,77,4899679
00081,15_1,130,7318304
00081,15_2,117,13200477
00081,15_3,121,18725807
00081,15_4,87,7488265
00082,14_1,103,14450853
00082,14_2,132,9625864
00082,14_3,193,39012004
00082,14_4,162,8574155
00082,15_1,188,13580247
00082,15_2,157,18062697
00082,15_3,118,33235914
00082,15_4,130,21738835
00083,14_1,63,5363385
00083,14_2,125,11023440
00083,14_3,186,30113518
00083,14_4,126,8448510
00083,15_1,156,14759202
00083,15_2,135,16122194
00083,15_3,164,31887833
00083,15_4,101,10016558
00084,14_1,99,8526124
00084,14_2,38,2915095
00084,14_3,65,4069367
00084,14_4,35,1743042
00084,15_1,77,27924392
00084,15_2,85,11561491
00084,15_3,40,1918514
00084,15_4,63,5029766
00085,14_1,58,857771
00085,14_2,52,851688
00085,14_3,85,883261
00085,14_4,138,1845164
00085,15_1,98,1908246
00085,15_2,150,2775179
00085,15_3,151,2870937
00085,15_4,145,2161598
00086,14_1,225,2305479
00086,14_2,252,5391579
00086,14_3,230,4499684
00086,14_4,240,5362017
00086,15_1,408,5325531
00086,15_2,367,4589322
00086,15_3,313,5895141
00086,15_4,237,6987293
00087,14_1,63,18101391
00087,14_2,126,10431800
00087,14_3,43,696338
00087,14_4,70,4838316
00087,15_1,62,6075049
00087,15_2,78,1871468
00087,15_3,67,6142045
00087,15_4,52,3144339
00088,14_1,186,4407581
00088,14_2,182,8834758
00088,14_3,177,6533677
00088,14_4,208,7277068
00088,15_1,237,7983322
00088,15_2,146,4746651
00088,15_3,176,5136542
00088,15_4,192,16329055
00089,14_1,154,1074617
00089,14_2,267,3312087
00089,14_3,234,2278209
00089,14_4,201,1561545
00089,15_1,261,2480435
00089,15_2,330,2076484
00089,15_3,279,1670374
00089,15_4,316,1686520
00090,14_1,35,2770184
00090,14_2,72,3445556
00090,14_3,88,3920303
00090,14_4,94,22669241
00090,15_1,47,3433357
00090,15_2,71,4720581
00090,15_3,77,8818775
00090,15_4,58,5802660
00091,14_1,105,2231397
00091,14_2,93,2513739
00091,14_3,120,2804264
00091,14_4,122,2001109
00091,15_1,114,2840689
00091,15_2,121,2335516
00091,15_3,122,2933941
00091,15_4,127,1673354
00092,14_1,247,5625815
00092,14_2,244,5344617
00092,14_3,260,6639922
00092,14_4,218,8355857
00092,15_1,198,5158929
00092,15_2,207,7725380
00092,15_3,252,9652761
00092,15_4,168,7657624
00093,14_1,104,11258443
00093,14_2,101,9821522
00093,14_3,89,20001709
00093,14_4,16,9398422
00093,15_1,113,16853563
00093,15_2,86,22852626
00093,15_3,169,15242658
00093,15_4,105,12699142
00094,14_1,14,103060
00094,14_2,28,376930
00094,14_3,166,7216957
00094,14_4,236,9781359
00094,15_1,172,4738911
00094,15_2,178,4374557
00094,15_3,184,15090188
00094,15_4,188,26877284
00095,14_1,174,931128
00095,14_2,176,1056139
00095,14_3,120,706109
00095,14_4,140,1245541
00095,15_1,154,1033126
00095,15_2,185,848361
00095,15_3,184,1298792
00095,15_4,161,823662
00096,14_1,85,3962196
00096,14_2,125,10010589
00096,14_3,131,6060079
00096,14_4,93,2521338
00096,15_1,83,3120812
00096,15_2,57,1715724
00096,15_3,89,3497055
00096,15_4,90,1904978
00097,14_1,205,147581398
00097,14_2,219,110687010
00097,14_3,160,172115503
00097,14_4,217,85171677
00097,15_1,226,159316162
00097,15_2,275,160684994
00097,15_3,213,110189781
00097,15_4,118,56626128
00098,14_1,118,2196336
00098,14_2,121,2213805
00098,14_3,129,3626285
00098,14_4,99,3206288
00098,15_1,62,3838402
00098,15_2,83,2523471
00098,15_3,79,2643299
00098,15_4,101,2055988
00099,14_1,123,19194734
00099,14_2,194,20350777
00099,14_3,195,51475323
00099,14_4,139,33901564
00099,15_1,158,22559969
00099,15_2,204,47559861
00099,15_3,173,28160935
00099,15_4,132,35764745
00100,14_1,66,1070410
00100,14_2,90,6215666
00100,14_3,134,5905833
00100,14_4,158,9158958
00100,15_1,77,1727593
00100,15_2,56,1081704
00100,15_3,103,2403263
00100,15_4,7,88937
00101,14_1,126,1470451
00101,14_2,66,469534
00101,14_3,80,615738
00101,14_4,102,726500
00101,15_1,116,1042269
00101,15_2,105,716861
00101,15_3,125,1123063
00101,15_4,136,850761
00102,14_1,343,36451980
00102,14_2,337,13636941
00102,14_3,359,10191191
00102,14_4,361,16845773
00102,15_1,410,6203384
00102,15_2,299,12053827
00102,15_3,296,7578114
00102,15_4,309,9244406
00103,14_1,138,690276
00103,14_2,104,471999
00103,14_3,136,984056
00103,14_4,80,320822
00103,15_1,102,639574
00103,15_2,108,543909
00103,15_3,140,836918
00103,15_4,95,384756
00104,14_1,279,1762267
00104,14_2,359,2023013
00104,14_3,343,2486258
00104,14_4,195,2354031
00104,15_1,279,1566607
00104,15_2,380,1982176
00104,15_3,412,2495141
00104,15_4,251,1268529
00105,14_1,320,2228773
00105,14_2,377,3156928
00105,14_3,310,4306951
00105,14_4,348,2534649
00105,15_1,228,2736957
00105,15_2,254,1976700
00105,15_3,287,3883494
00105,15_4,251,2165941
00106,14_1,64,9505683
00106,14_2,134,10624246
00106,14_3,75,3992343
00106,14_4,131,8970833
00106,15_1,91,3294171
00106,15_2,87,10672755
00106,15_3,92,9393616
00106,15_4,113,12152349
00107,14_1,102,8001983
00107,14_2,112,12281551
00107,14_3,80,15373461
00107,14_4,128,20324569
00107,15_1,88,19819270
00107,15_2,129,19314284
00107,15_3,96,9392268
00107,15_4,106,26896144
00108,14_1,97,2037081
00108,14_2,77,1303513
00108,14_3,127,1695556
00108,14_4,136,1602736
00108,15_1,101,1208400
00108,15_2,164,2596247
00108,15_3,153,2355971
00108,15_4,150,2082447
00109,14_1,218,1897457
00109,14_2,184,1271851
00109,14_3,197,1540739
00109,14_4,185,1061832
00109,15_1,174,699044
00109,15_2,167,813365
00109,15_3,162,975444
00109,15_4,174,661321
00110,14_1,210,2217083
00110,14_2,165,3379326
00110,14_3,233,6313012
00110,14_4,208,3917502
00110,15_1,168,3472772
00110,15_2,167,3172423
00110,15_3,177,3525548
00110,15_4,94,1600076
00111,14_1,195,611776
00111,14_2,180,453745
00111,14_3,175,1031773
00111,14_4,183,452296
00111,15_1,171,677007
00111,15_2,240,824800
00111,15_3,209,667931
00111,15_4,216,566015
00112,14_1,55,12928361
00112,14_2,72,5514165
00112,14_3,132,8141144
00112,14_4,112,6749603
00112,15_1,112,9269699
00112,15_2,141,10022327
00112,15_3,194,19251627
00112,15_4,105,26413117
00113,14_1,184,11117593
00113,14_2,237,12312763
00113,14_3,234,9879595
00113,14_4,239,19284402
00113,15_1,209,11472641
00113,15_2,204,14589759
00113,15_3,224,7569732
00113,15_4,135,8189510
00114,14_1,147,1694869
00114,14_2,107,4625580
00114,14_3,72,5105426
00114,14_4,72,2810550
00114,15_1,104,2793759
00114,15_2,131,4439414
00114,15_3,87,1442424
00114,15_4,93,1532778
00115,14_1,69,2136180
00115,14_2,105,9104345
00115,14_3,88,9481091
00115,14_4,58,8788352
00115,15_1,71,14932209
00115,15_2,113,10865664
00115,15_3,45,3421539
00115,15_4,45,9526810
00116,14_1,145,960049
00116,14_2,288,1288552
00116,14_3,235,1161156
00116,14_4,214,752314
00116,15_1,214,943069
00116,15_2,239,1356397
00116,15_3,172,805789
00116,15_4,247,951133
00117,14_1,142,6275989
00117,14_2,130,1517939
00117,14_3,173,14125107
00117,14_4,164,6128806
00117,15_1,183,3693702
00117,15_2,256,5136613
00117,15_3,101,3825694
00117,15_4,171,4720761
00118,14_1,63,7929023
00118,14_2,75,9103614
00118,14_3,113,11171368
00118,14_4,125,24174141
00118,15_1,97,13010329
00118,15_2,69,12766139
00118,15_3,76,13411316
00118,15_4,94,12033043
00119,14_1,93,3554979
00119,14_2,176,15249957
00119,14_3,143,6080822
00119,14_4,119,9775307
00119,15_1,177,12801907
00119,15_2,113,9273934
00119,15_3,117,9270431
00119,15_4,42,2168360
00120,14_1,112,32511582
00120,14_2,177,44810057
00120,14_3,189,27713180
00120,14_4,144,26842107
00120,15_1,130,27584963
00120,15_2,146,26840011
00120,15_3,179,32467225
00120,15_4,92,26698688
00121,14_1,92,2755883
00121,14_2,69,1669843
00121,14_3,76,885964
00121,14_4,144,2238871
00121,15_1,125,4627124
00121,15_2,111,1468048
00121,15_3,155,2592553
00121,15_4,134,3420814
00122,14_1,58,3133419
00122,14_2,135,4018924
00122,14_3,194,3989896
00122,14_4,122,3052829
00122,15_1,171,6870681
00122,15_2,167,8658818
00122,15_3,175,6968453
00122,15_4,194,4486994
00123,14_1,272,1607094
00123,14_2,158,936624
00123,14_3,203,1610037
00123,14_4,196,1186672
00123,15_1,215,1569543
00123,15_2,231,1478038
00123,15_3,195,1383009
00123,15_4,216,1007351
00124,14_1,77,7115175
00124,14_2,70,3455776
00124,14_3,98,4095624
00124,14_4,72,3654348
00124,15_1,64,1883340
00124,15_2,113,9521478
00124,15_3,70,1884145
00124,15_4,119,7185588
00125,14_1,112,3143429
00125,14_2,150,1948622
00125,14_3,103,1977695
00125,14_4,95,1252006
00125,15_1,119,1705417
00125,15_2,90,2980912
00125,15_3,41,661758
00125,15_4,140,1948217
00126,14_1,173,3979757
00126,14_2,132,941699
00126,14_3,158,1235301
00126,14_4,189,9807781
00126,15_1,196,9622519
00126,15_2,312,5316324
00126,15_3,216,2836658
00126,15_4,172,5449405
00127,14_1,57,878051
00127,14_2,79,929329
00127,14_3,83,1499560
00127,14_4,48,389868
00127,15_1,120,1239263
00127,15_2,81,495745
00127,15_3,105,730283
00127,15_4,89,1005227
00128,14_1,94,1196952
00128,14_2,104,1037161
00128,14_3,93,2961616
00128,14_4,99,784208
00128,15_1,71,470053
00128,15_2,176,1176377
00128,15_3,126,1460505
00128,15_4,34,171043
00129,14_1,97,560281
00129,14_2,122,1091966
00129,14_3,107,859946
00129,14_4,128,847078
00129,15_1,115,775628
00129,15_2,115,986252
00129,15_3,179,1368754
00129,15_4,143,803481
00130,14_1,147,9145865
00130,14_2,147,8811617
00130,14_3,164,6706083
00130,14_4,182,5703051
00130,15_1,140,6674656
00130,15_2,137,4975584
00130,15_3,74,1902600
00130,15_4,65,2267671
00131,14_1,322,2955867
00131,14_2,293,6388099
00131,14_3,408,5895941
00131,14_4,150,2042041
00131,15_1,235,3445565
00131,15_2,246,5136163
00131,15_3,333,5217155
00131,15_4,233,2701983
00132,14_1,219,1460939
00132,14_2,289,1323138
00132,14_3,305,1688316
00132,14_4,389,2018794
00132,15_1,405,2548533
00132,15_2,76,1538391
00132,15_3,74,469840
00132,15_4,82,1015888
00133,14_1,162,2010031
00133,14_2,177,2256328
00133,14_3,168,3657692
00133,14_4,118,1832541
00133,15_1,140,3593824
00133,15_2,159,3268240
00133,15_3,183,3776837
00133,15_4,115,4258801
00134,14_1,63,15194907
00134,14_2,53,9310606
00134,14_3,66,8401539
00134,14_4,144,7314604
00134,15_1,135,14713416
00134,15_2,117,20857530
00134,15_3,112,16314624
00134,15_4,95,13688042
00135,14_1,79,570114
00135,14_2,121,4404751
00135,14_3,81,2918250
00135,14_4,105,914258
00135,15_1,91,899577
00135,15_2,92,1379430
00135,15_3,85,2079776
00135,15_4,52,426460
00136,14_1,16,147714
00136,14_2,125,3273642
00136,14_3,73,5465336
00136,14_4,91,3779099
00136,15_1,36,704481
